date,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Helmstedt.in,Helmstedt.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Nienburg(Weser).in,Nienburg(Weser).out,Verden(Aller).in,Verden(Aller).out,Bremen_Hbf.in,Bremen_Hbf.out,Delmenhorst.in,Delmenhorst.out,Hude.in,Hude.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Augustfehn.in,Augustfehn.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out
2024-04-20,-1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,28.0,27.0,26.0,26.0,26.0,19.0,18.0,18.0,17.0,18.0,17.0,17.0,15.0,13.0,12.0,-1.0
2024-04-19,-1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,19.0,18.0,18.0,17.0,22.0,22.0,21.0,37.0,37.0,37.0,35.0,30.0,29.0,29.0,28.0,28.0,27.0,27.0,27.0,24.0,23.0,-1.0
2024-04-18,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,11.0,12.0,0.0,0.0,18.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,3.0,-1.0
2024-04-17,-1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,4.0,3.0,3.0,8.0,8.0,7.0,7.0,7.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,-1.0
2024-04-16,-1.0,12.0,11.0,7.0,8.0,8.0,8.0,5.0,5.0,6.0,8.0,8.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,7.0,5.0,6.0,5.0,5.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,-1.0
2024-04-15,-1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,-1.0
2024-04-13,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,-1.0
2024-04-12,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,12.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,-1.0
2024-04-10,-1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,27.0,26.0,27.0,28.0,29.0,29.0,29.0,28.0,28.0,27.0,25.0,27.0,-1.0
2024-04-07,-1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,7.0,8.0,6.0,6.0,5.0,5.0,3.0,2.0,0.0,-1.0
2024-04-06,-1.0,3.0,5.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,6.0,5.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-04,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,-1.0
2024-04-03,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,-1.0
2024-04-02,-1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,-1.0
2024-04-01,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,6.0,2.0,6.0,5.0,6.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,-1.0
