date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Friedberg(Hess).in,Friedberg(Hess).out,Frankfurt(Main)West.in,Frankfurt(Main)West.out,Bad_Nauheim.in,Bad_Nauheim.out,Wetzlar.in,Wetzlar.out,Dillenburg.in,Dillenburg.out,Siegen-Weidenau.in,Siegen-Weidenau.out,Kreuztal.in,Kreuztal.out,Lennestadt-Altenhundem.in,Lennestadt-Altenhundem.out,Lennestadt-Grevenbrück.in,Lennestadt-Grevenbrück.out,Finnentrop.in,Finnentrop.out,Plettenberg.in,Plettenberg.out,Werdohl.in,Werdohl.out,Altena(Westf).in,Altena(Westf).out,Witten_Hbf.in,Witten_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-04-26,-1.0,7.0,0.0,0.0,7.0,7.0,6.0,6.0,5.0,6.0,4.0,5.0,20.0,20.0,19.0,19.0,17.0,18.0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,18.0,-1.0
2024-04-24,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,6.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,12.0,12.0,12.0,-1.0
2024-04-23,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,-1.0
2024-04-22,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,4.0,3.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,10.0,-1.0
2024-04-21,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,14.0,14.0,15.0,15.0,16.0,29.0,31.0,31.0,32.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,-1.0
2024-04-19,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,14.0,14.0,17.0,17.0,16.0,16.0,24.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,32.0,31.0,31.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,8.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,12.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,6.0,11.0,13.0,13.0,12.0,12.0,12.0,12.0,10.0,9.0,9.0,-1.0
2024-04-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,6.0,10.0,10.0,15.0,30.0,35.0,36.0,40.0,56.0,60.0,60.0,85.0,85.0,86.0,-1.0
2024-04-05,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,37.0,40.0,40.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,51.0,50.0,54.0,-1.0
2024-04-04,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,13.0,13.0,14.0,19.0,18.0,18.0,22.0,22.0,24.0,-1.0
2024-04-03,-1.0,10.0,0.0,0.0,9.0,9.0,9.0,10.0,8.0,8.0,7.0,7.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,14.0,14.0,13.0,14.0,14.0,14.0,15.0,15.0,14.0,13.0,14.0,-1.0
2024-04-02,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
