date,Warnemünde.in,Warnemünde.out,Rostock_Hbf.in,Rostock_Hbf.out,Schwerin_Hbf.in,Schwerin_Hbf.out,Waren(Müritz).in,Waren(Müritz).out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Oranienburg.in,Oranienburg.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Doberlug-Kirchhain.in,Doberlug-Kirchhain.out,Elsterwerda.in,Elsterwerda.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-04-23,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,-1.0
2024-04-22,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,-1.0
2024-04-21,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,3.0,3.0,2.0,0.0,0.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,11.0,7.0,5.0,0.0,0.0,1.0,1.0,3.0,3.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0,-1.0
2024-04-19,-1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-18,-1.0,-1.0,-1.0,13.0,0.0,0.0,8.0,8.0,6.0,5.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2024-04-17,-1.0,-1.0,-1.0,9.0,0.0,0.0,3.0,3.0,7.0,7.0,3.0,2.0,16.0,15.0,16.0,15.0,14.0,14.0,11.0,11.0,12.0,14.0,20.0,18.0,21.0,-1.0
2024-04-16,-1.0,13.0,14.0,11.0,0.0,0.0,12.0,12.0,10.0,10.0,6.0,6.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,-1.0
2024-04-15,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,36.0,35.0,35.0,31.0,31.0,29.0,29.0,28.0,28.0,27.0,-1.0
2024-04-14,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-13,-1.0,0.0,-1.0,9.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,7.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.0
2024-04-12,-1.0,9.0,2.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,5.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,-1.0
2024-04-10,-1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,18.0,16.0,17.0,16.0,21.0,20.0,20.0,20.0,18.0,17.0,16.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,6.0,7.0,6.0,7.0,7.0,12.0,12.0,15.0,15.0,14.0,13.0,13.0,-1.0
2024-04-08,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,-1.0,-1.0,-1.0
2024-04-07,-1.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,7.0,6.0,5.0,5.0,11.0,12.0,13.0,-1.0
2024-04-06,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,8.0,8.0,7.0,6.0,7.0,-1.0
2024-04-05,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,7.0,8.0,8.0,15.0,15.0,16.0,16.0,15.0,15.0,14.0,-1.0
2024-04-03,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,5.0,17.0,17.0,19.0,19.0,18.0,17.0,18.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,11.0,10.0,11.0,13.0,13.0,12.0,15.0,15.0,14.0,14.0,15.0,14.0,14.0,-1.0
2024-04-01,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,-1.0
