date,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hannover_Hbf.in,Hannover_Hbf.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Mülheim(Ruhr)Hbf.in,Mülheim(Ruhr)Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Aachen_Hbf.in,Aachen_Hbf.out
2024-04-22,-1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,5.0,5.0,9.0,9.0,8.0,7.0,0.0,0.0,7.0,6.0,6.0,8.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,6.0,6.0,5.0,5.0,6.0,7.0,11.0,10.0,0.0,0.0,10.0,7.0,2.0,-1.0
2024-04-20,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,10.0,10.0,0.0,0.0,12.0,9.0,0.0,-1.0
2024-04-19,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,6.0,6.0,6.0,0.0,0.0,7.0,7.0,7.0,6.0,0.0,1.0,2.0,2.0,10.0,11.0,10.0,9.0,9.0,10.0,12.0,13.0,0.0,0.0,15.0,12.0,6.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,10.0,6.0,6.0,13.0,13.0,12.0,12.0,14.0,20.0,24.0,23.0,0.0,0.0,18.0,16.0,16.0,-1.0
2024-04-17,-1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,18.0,75.0,90.0,90.0,91.0,91.0,0.0,0.0,93.0,92.0,94.0,96.0,91.0,90.0,90.0,90.0,92.0,91.0,92.0,93.0,96.0,98.0,102.0,101.0,0.0,0.0,107.0,-1.0,-1.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,4.0,11.0,10.0,14.0,13.0,13.0,13.0,14.0,15.0,20.0,20.0,0.0,0.0,17.0,15.0,2.0,-1.0
2024-04-15,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,7.0,10.0,10.0,0.0,0.0,7.0,4.0,2.0,-1.0
2024-04-14,-1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,22.0,22.0,21.0,20.0,25.0,24.0,23.0,22.0,22.0,22.0,26.0,25.0,0.0,0.0,29.0,27.0,17.0,-1.0
2024-04-13,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,6.0,10.0,10.0,0.0,0.0,6.0,2.0,0.0,-1.0
