date,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wittenberge.in,Wittenberge.out,Ludwigslust.in,Ludwigslust.out,Büchen.in,Büchen.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,22.0,19.0,20.0,14.0,14.0,11.0,11.0,7.0,6.0,5.0,5.0,3.0,-1.0
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,15.0,16.0,16.0,14.0,15.0,14.0,15.0,15.0,15.0,14.0,15.0,18.0,-1.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,5.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,15.0,15.0,17.0,-1.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,-1.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,24.0,18.0,17.0,14.0,15.0,11.0,11.0,10.0,10.0,8.0,8.0,5.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,10.0,10.0,8.0,8.0,5.0,4.0,9.0,10.0,15.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,5.0,5.0,1.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.0,4.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,7.0,6.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,8.0,10.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,-1.0
