date,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Helmstedt.in,Helmstedt.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Nienburg(Weser).in,Nienburg(Weser).out,Verden(Aller).in,Verden(Aller).out,Bremen_Hbf.in,Bremen_Hbf.out,Delmenhorst.in,Delmenhorst.out,Hude.in,Hude.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Augustfehn.in,Augustfehn.out,Hannover_Hbf.in,Hannover_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out
2024-04-11,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-04-10,-1.0,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-04-08,-1.0,0.0,6.0,11.0,-1.0,-1.0,33.0,29.0,28.0,28.0,29.0,29.0,14.0,13.0,12.0,11.0,10.0,9.0,10.0,9.0,8.0,7.0,8.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,34.0,14.0,0.0,0.0,2.0,2.0,1.0,-1.0
2024-04-07,-1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,12.0,6.0,4.0,-1.0
2024-04-06,-1.0,20.0,20.0,19.0,17.0,16.0,13.0,11.0,10.0,10.0,7.0,7.0,36.0,35.0,37.0,36.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,10.0,10.0,6.0,4.0,4.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,4.0,9.0,12.0,12.0,13.0,12.0,11.0,12.0,5.0,7.0,10.0,10.0,26.0,59.0,60.0,1.0,1.0,0.0,0.0,59.0,57.0,56.0,-1.0
2024-04-04,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-03,-1.0,7.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,16.0,16.0,15.0,19.0,18.0,18.0,13.0,13.0,13.0,13.0,14.0,11.0,11.0,1.0,2.0,0.0,0.0,10.0,6.0,7.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,-1.0
2024-04-01,-1.0,15.0,14.0,9.0,9.0,10.0,9.0,9.0,7.0,7.0,5.0,6.0,1.0,1.0,0.0,2.0,22.0,22.0,24.0,24.0,22.0,22.0,22.0,17.0,17.0,17.0,16.0,16.0,14.0,14.0,5.0,1.0,0.0,0.0,12.0,9.0,10.0,-1.0
