date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Hagen_Hbf.in,Hagen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-09,-1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,4.0,11.0,16.0,11.0,11.0,10.0,4.0,0.0,0.0,0.0,0.0,4.0,8.0,6.0,4.0,2.0,1.0,0.0,0.0,1.0,-1.0
2024-05-08,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,-1.0
2024-05-07,-1.0,7.0,0.0,2.0,0.0,0.0,6.0,7.0,25.0,31.0,33.0,33.0,31.0,31.0,36.0,31.0,0.0,0.0,0.0,0.0,30.0,30.0,31.0,29.0,27.0,27.0,25.0,25.0,23.0,-1.0
2024-05-06,-1.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,6.0,7.0,11.0,12.0,7.0,7.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,-1.0
2024-05-03,-1.0,1.0,0.0,4.0,1.0,2.0,0.0,2.0,2.0,3.0,5.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-02,-1.0,1.0,2.0,-1.0,8.0,7.0,5.0,5.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-01,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,32.0,32.0,31.0,30.0,28.0,24.0,24.0,28.0,35.0,36.0,50.0,48.0,47.0,59.0,54.0,0.0,0.0,0.0,0.0,53.0,53.0,61.0,59.0,61.0,61.0,63.0,64.0,66.0,-1.0
2024-04-29,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,12.0,13.0,18.0,17.0,16.0,18.0,12.0,0.0,0.0,0.0,0.0,11.0,12.0,21.0,17.0,17.0,17.0,16.0,17.0,17.0,-1.0
2024-04-28,-1.0,0.0,11.0,24.0,17.0,16.0,15.0,14.0,19.0,24.0,26.0,26.0,23.0,23.0,22.0,17.0,0.0,0.0,0.0,0.0,14.0,13.0,17.0,14.0,13.0,13.0,11.0,11.0,11.0,-1.0
2024-04-26,-1.0,2.0,0.0,0.0,0.0,0.0,32.0,33.0,36.0,44.0,45.0,46.0,40.0,40.0,41.0,36.0,0.0,0.0,0.0,0.0,32.0,36.0,39.0,37.0,36.0,37.0,36.0,37.0,35.0,-1.0
2024-04-25,-1.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,8.0,9.0,12.0,7.0,6.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-04-24,-1.0,-1.0,-1.0,5.0,1.0,1.0,6.0,6.0,3.0,4.0,7.0,8.0,4.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,-1.0
2024-04-23,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,9.0,9.0,9.0,4.0,0.0,0.0,0.0,0.0,13.0,15.0,17.0,16.0,14.0,14.0,12.0,13.0,12.0,-1.0
2024-04-22,-1.0,2.0,0.0,1.0,3.0,3.0,0.0,1.0,3.0,13.0,12.0,13.0,11.0,11.0,10.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,21.0,17.0,5.0,6.0,4.0,5.0,4.0,-1.0
2024-04-21,-1.0,16.0,16.0,16.0,17.0,16.0,15.0,45.0,45.0,47.0,49.0,49.0,43.0,43.0,44.0,39.0,0.0,0.0,0.0,0.0,35.0,35.0,38.0,37.0,35.0,35.0,33.0,33.0,32.0,-1.0
2024-04-20,-1.0,6.0,2.0,2.0,4.0,4.0,4.0,5.0,20.0,21.0,27.0,27.0,22.0,22.0,23.0,18.0,0.0,0.0,0.0,0.0,15.0,15.0,22.0,28.0,26.0,27.0,25.0,26.0,24.0,-1.0
2024-04-19,-1.0,1.0,3.0,4.0,3.0,5.0,7.0,7.0,18.0,23.0,24.0,27.0,23.0,23.0,22.0,16.0,0.0,0.0,0.0,0.0,12.0,13.0,12.0,10.0,7.0,7.0,4.0,4.0,4.0,-1.0
2024-04-18,-1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,-1.0
2024-04-17,-1.0,15.0,14.0,12.0,8.0,64.0,63.0,63.0,61.0,62.0,61.0,62.0,59.0,67.0,67.0,62.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,58.0,56.0,57.0,61.0,62.0,63.0,-1.0
2024-04-16,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,7.0,13.0,14.0,10.0,10.0,11.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,24.0,24.0,23.0,24.0,21.0,22.0,19.0,-1.0
2024-04-15,-1.0,1.0,2.0,2.0,5.0,4.0,1.0,2.0,3.0,7.0,11.0,12.0,8.0,8.0,13.0,7.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-13,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,5.0,7.0,8.0,9.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,-1.0
2024-04-12,-1.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,16.0,20.0,22.0,33.0,31.0,31.0,30.0,26.0,0.0,0.0,0.0,0.0,27.0,28.0,28.0,25.0,24.0,24.0,22.0,23.0,21.0,-1.0
2024-04-11,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,13.0,14.0,9.0,10.0,20.0,17.0,0.0,0.0,0.0,0.0,18.0,19.0,21.0,20.0,19.0,19.0,18.0,19.0,16.0,-1.0
