date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-19,-1.0,0.0,0.0,0.0,4.0,4.0,2.0,3.0,0.0,2.0,3.0,3.0,1.0,0.0,5.0,4.0,3.0,2.0,2.0,2.0,0.0,-1.0
2024-05-18,-1.0,0.0,0.0,0.0,25.0,24.0,30.0,31.0,35.0,36.0,36.0,35.0,41.0,45.0,43.0,42.0,41.0,40.0,37.0,37.0,38.0,-1.0
2024-05-17,-1.0,7.0,0.0,0.0,8.0,9.0,8.0,12.0,20.0,29.0,32.0,31.0,33.0,35.0,34.0,35.0,31.0,34.0,39.0,38.0,39.0,-1.0
2024-05-16,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,5.0,6.0,4.0,3.0,1.0,0.0,6.0,6.0,3.0,2.0,2.0,-1.0
2024-05-15,-1.0,0.0,0.0,0.0,3.0,2.0,6.0,7.0,4.0,13.0,13.0,12.0,8.0,8.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,7.0,18.0,18.0,28.0,28.0,27.0,27.0,21.0,21.0,21.0,17.0,20.0,-1.0
2024-05-13,-1.0,3.0,0.0,0.0,6.0,6.0,5.0,6.0,3.0,44.0,-1.0,-1.0,88.0,93.0,92.0,91.0,86.0,87.0,84.0,83.0,87.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.0,63.0,64.0,60.0,60.0,56.0,55.0,60.0,59.0,59.0,58.0,61.0,-1.0
2024-05-11,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0
2024-05-10,-1.0,1.0,0.0,0.0,6.0,6.0,7.0,9.0,5.0,25.0,30.0,30.0,28.0,29.0,30.0,30.0,29.0,29.0,28.0,28.0,29.0,-1.0
2024-05-09,-1.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,4.0,24.0,28.0,28.0,27.0,28.0,26.0,25.0,19.0,19.0,17.0,15.0,16.0,-1.0
2024-05-08,-1.0,1.0,0.0,0.0,1.0,1.0,10.0,11.0,10.0,18.0,18.0,18.0,21.0,23.0,22.0,23.0,16.0,17.0,12.0,12.0,13.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,8.0,11.0,14.0,14.0,19.0,20.0,24.0,24.0,18.0,18.0,15.0,15.0,13.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,2.0,1.0,8.0,9.0,1.0,29.0,31.0,31.0,29.0,28.0,28.0,27.0,28.0,28.0,27.0,25.0,27.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,7.0,7.0,7.0,8.0,6.0,6.0,8.0,8.0,6.0,6.0,3.0,3.0,13.0,15.0,13.0,11.0,14.0,-1.0
2024-05-03,-1.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,16.0,18.0,19.0,18.0,20.0,21.0,21.0,21.0,14.0,14.0,10.0,9.0,10.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,7.0,10.0,23.0,44.0,43.0,44.0,43.0,40.0,40.0,39.0,-1.0
2024-05-01,-1.0,3.0,0.0,0.0,20.0,19.0,18.0,20.0,24.0,23.0,35.0,35.0,54.0,74.0,69.0,68.0,62.0,62.0,62.0,58.0,62.0,-1.0
2024-04-30,-1.0,13.0,0.0,0.0,14.0,13.0,14.0,15.0,29.0,34.0,34.0,34.0,32.0,32.0,32.0,31.0,36.0,37.0,34.0,32.0,36.0,-1.0
2024-04-29,-1.0,1.0,0.0,0.0,5.0,5.0,8.0,9.0,6.0,10.0,10.0,11.0,8.0,8.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,-1.0
2024-04-28,-1.0,21.0,0.0,0.0,20.0,20.0,19.0,20.0,24.0,24.0,23.0,22.0,17.0,17.0,13.0,13.0,14.0,13.0,14.0,14.0,16.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,13.0,12.0,14.0,15.0,12.0,19.0,19.0,19.0,14.0,14.0,11.0,10.0,4.0,6.0,9.0,8.0,8.0,-1.0
2024-04-26,-1.0,0.0,0.0,0.0,4.0,5.0,6.0,8.0,29.0,27.0,28.0,28.0,26.0,27.0,26.0,25.0,19.0,18.0,15.0,14.0,13.0,-1.0
2024-04-25,-1.0,4.0,0.0,0.0,5.0,5.0,14.0,16.0,16.0,18.0,20.0,22.0,29.0,31.0,27.0,26.0,24.0,25.0,25.0,24.0,25.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,5.0,9.0,10.0,18.0,18.0,18.0,17.0,18.0,12.0,12.0,11.0,11.0,24.0,-1.0
2024-04-23,-1.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,10.0,12.0,24.0,23.0,22.0,21.0,21.0,20.0,14.0,15.0,12.0,10.0,17.0,-1.0
2024-04-22,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,13.0,19.0,18.0,22.0,22.0,21.0,20.0,14.0,15.0,10.0,9.0,9.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,13.0,13.0,12.0,11.0,7.0,6.0,2.0,2.0,1.0,1.0,4.0,-1.0
2024-04-20,-1.0,1.0,0.0,0.0,3.0,3.0,6.0,10.0,14.0,16.0,18.0,19.0,19.0,19.0,17.0,18.0,13.0,12.0,11.0,8.0,10.0,-1.0
2024-04-19,-1.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,9.0,9.0,9.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,-1.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,10.0,10.0,7.0,7.0,6.0,6.0,6.0,6.0,3.0,2.0,1.0,-1.0
2024-04-17,-1.0,0.0,0.0,0.0,7.0,8.0,8.0,9.0,6.0,8.0,10.0,11.0,9.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,1.0,2.0,7.0,8.0,5.0,8.0,9.0,10.0,19.0,20.0,16.0,15.0,12.0,12.0,9.0,8.0,7.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,4.0,43.0,45.0,46.0,42.0,41.0,42.0,41.0,43.0,44.0,43.0,42.0,44.0,-1.0
2024-04-13,-1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,7.0,9.0,9.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,6.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,12.0,12.0,9.0,9.0,6.0,6.0,5.0,7.0,6.0,6.0,7.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,24.0,35.0,36.0,35.0,36.0,35.0,47.0,44.0,43.0,46.0,45.0,45.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,4.0,3.0,4.0,5.0,2.0,17.0,24.0,25.0,44.0,44.0,42.0,41.0,35.0,34.0,45.0,44.0,47.0,-1.0
2024-04-08,-1.0,2.0,6.0,6.0,-1.0,-1.0,-1.0,-1.0,30.0,31.0,34.0,35.0,32.0,33.0,30.0,30.0,23.0,25.0,24.0,24.0,25.0,-1.0
2024-04-07,-1.0,3.0,2.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,15.0,16.0,12.0,12.0,19.0,-1.0
2024-04-06,-1.0,1.0,9.0,3.0,6.0,6.0,5.0,6.0,3.0,7.0,9.0,8.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,-1.0,1.0,2.0,2.0,1.0,0.0,0.0,5.0,16.0,-1.0,-1.0,68.0,90.0,89.0,88.0,83.0,82.0,78.0,79.0,77.0,-1.0
2024-04-04,-1.0,1.0,4.0,0.0,5.0,5.0,5.0,6.0,11.0,15.0,25.0,24.0,20.0,20.0,18.0,17.0,17.0,16.0,13.0,13.0,18.0,-1.0
2024-04-03,-1.0,1.0,3.0,0.0,2.0,3.0,10.0,11.0,10.0,14.0,14.0,13.0,9.0,9.0,6.0,6.0,2.0,3.0,1.0,1.0,1.0,-1.0
2024-04-02,-1.0,1.0,4.0,1.0,2.0,1.0,4.0,6.0,4.0,16.0,15.0,14.0,16.0,21.0,20.0,20.0,18.0,17.0,15.0,14.0,22.0,-1.0
2024-04-01,-1.0,0.0,5.0,1.0,6.0,6.0,7.0,8.0,7.0,34.0,30.0,29.0,68.0,76.0,73.0,73.0,67.0,67.0,64.0,63.0,62.0,-1.0
