date,Hamburg_Hbf.in,Hamburg_Hbf.out,Uelzen.in,Uelzen.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Celle.in,Celle.out,Lüneburg.in,Lüneburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-04-20,-1.0,7.0,8.0,9.0,10.0,11.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,2.0,2.0,1.0,6.0,6.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,-1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,-1.0,-1.0,0.0,0.0,70.0,70.0,59.0,60.0,61.0,59.0,65.0,65.0,65.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,65.0,65.0,9.0,14.0,-1.0,-1.0,37.0,37.0,39.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,7.0,0.0,0.0,7.0,8.0,0.0,1.0,2.0,1.0,3.0,2.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,5.0,0.0,0.0,6.0,6.0,1.0,1.0,2.0,2.0,11.0,9.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,8.0,8.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,-1.0,0.0,9.0,8.0,5.0,6.0,3.0,2.0,10.0,9.0,0.0,0.0,2.0,3.0,0.0,0.0,48.0,49.0,54.0,54.0,54.0,51.0,57.0,57.0,54.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,-1.0,0.0,2.0,2.0,1.0,1.0,8.0,7.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,9.0,9.0,10.0,16.0,19.0,16.0,18.0,17.0,22.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,3.0,5.0,0.0,0.0,13.0,13.0,8.0,12.0,12.0,9.0,12.0,11.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-07,-1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,4.0,4.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,23.0,30.0,29.0,29.0,34.0,34.0,31.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,-1.0,1.0,28.0,27.0,0.0,0.0,18.0,17.0,2.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,20.0,20.0,17.0,20.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,2.0,5.0,6.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,28.0,27.0,24.0,28.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
