source,target,maxDelay,minDelay,stdDev,connections,avgDelay
Ansbach,Nürnberg Hbf,68.0,-7.0,13.83921,8.0,-2.00634
Emden Hbf,Leer (Ostfriesl),14.0,-100.0,17.30783,21.0,-0.29337
Leer (Ostfriesl),Augustfehn,22.0,-22.0,8.15795,9.0,0.19021
Augustfehn,Westerstede-Ocholt,12.0,-2.0,4.12832,10.0,0.1547
Westerstede-Ocholt,Bad Zwischenahn,14.0,-3.0,3.09616,10.0,-0.33333
Bad Zwischenahn,Oldenburg (Oldb) Hbf,10.0,-2.0,4.44162,10.0,0.25599
Oldenburg (Oldb) Hbf,Hude,26.0,-3.0,5.6232,10.0,0.34991
Hude,Delmenhorst,7.0,-1.0,3.07354,8.0,0.60325
Delmenhorst,Bremen Hbf,32.0,-80.0,12.92449,11.0,-0.39531
Bremen Hbf,Verden (Aller),45.0,-3.0,12.58173,7.0,2.47971
Verden (Aller),Minden (Westf),19.0,-39.0,13.1154,3.0,-5.03352
Minden (Westf),Nienburg (Weser),39.0,-9.0,14.28667,4.0,5.42259
Nienburg (Weser),Hannover Hbf,234.0,-75.0,38.42518,8.0,1.70913
Hannover Hbf,Braunschweig Hbf,45.0,-23.0,17.99942,15.0,0.45513
Braunschweig Hbf,Helmstedt,29.0,-39.0,10.89702,10.0,0.35424
Helmstedt,Magdeburg Hbf,61.0,-4.0,14.23489,9.0,0.47547
Magdeburg Hbf,Köthen,53.0,-223.0,39.75102,18.0,1.32195
Köthen,Halle (Saale) Hbf,54.0,-5.0,10.28048,18.0,-0.12319
Halle (Saale) Hbf,Leipzig Hbf,56.0,-122.0,29.57614,20.0,1.04735
Düsseldorf Hbf,Düsseldorf Flughafen,92.0,-54.0,20.36053,20.0,-0.69921
Düsseldorf Flughafen,Duisburg Hbf,45.0,-3.0,14.70493,19.0,0.92674
Duisburg Hbf,Oberhausen Hbf,8.0,-75.0,31.45702,10.0,-3.81504
Oberhausen Hbf,Gelsenkirchen Hbf,94.0,-55.0,23.26014,9.0,1.99769
Gelsenkirchen Hbf,Wanne-Eickel Hbf,4.0,-2.0,2.46824,9.0,-0.01392
Wanne-Eickel Hbf,Recklinghausen Hbf,40.0,-72.0,16.50612,8.0,0.16887
Recklinghausen Hbf,Münster (Westf) Hbf,105.0,-6.0,41.56334,9.0,5.96789
Münster (Westf) Hbf,Rheine,53.0,-55.0,15.29273,10.0,0.22814
Rheine,Lingen (Ems),15.0,-68.0,11.1272,9.0,0.62802
Lingen (Ems),Meppen,17.0,-4.0,5.52159,9.0,-1.12319
Meppen,Papenburg (Ems),51.0,-16.0,13.40029,9.0,-0.46618
Papenburg (Ems),Leer (Ostfriesl),117.0,-7.0,21.38191,9.0,-0.09179
Leer (Ostfriesl),Emden Hbf,48.0,-41.0,16.66789,18.0,0.48363
Emden Hbf,Norden,102.0,-24.0,15.21973,5.0,0.61303
Norden,Norddeich,36.0,-91.0,19.55137,8.0,-1.41667
Norddeich,Norddeich Mole,43.0,-191.0,29.42496,7.0,0.09351
Berlin Gesundbrunnen,Warnemünde,0.0,-20.0,2.60378,1.0,-0.33898
Warnemünde,Rostock Hbf,8.0,-6.0,3.67428,6.0,-0.31373
Rostock Hbf,Berlin Hbf,12.0,-21.0,4.9842,1.0,-2.94915
Berlin Hbf,Bützow,9.0,-20.0,5.83241,1.0,0.01695
Bützow,Bad Kleinen,3.0,-5.0,2.35255,5.0,-0.2069
Bad Kleinen,Schwerin Hbf,6.0,-4.0,2.30702,4.0,0.52761
Schwerin Hbf,Ludwigslust,14.0,-9.0,4.25658,4.0,0.63842
Ludwigslust,Wittenberge,42.0,-6.0,11.64324,18.0,0.00105
Wittenberge,Stendal Hbf,29.0,-5.0,6.11394,4.0,0.69274
Stendal Hbf,Magdeburg Hbf,31.0,-3.0,9.01574,4.0,2.53631
Karlsruhe Hbf,Bruchsal,8.0,-6.0,3.57186,10.0,0.19246
Bruchsal,Esslingen (Neckar),0.0,-17.0,3.09049,2.0,-2.02564
Esslingen (Neckar),Stuttgart Hbf,374.0,-66.0,75.73105,22.0,5.78078
Stuttgart Hbf,Ulm Hbf,113.0,-218.0,47.31605,28.0,-0.79682
Ulm Hbf,Augsburg Hbf,179.0,-28.0,49.85152,28.0,0.82464
Augsburg Hbf,München-Pasing,49.0,-181.0,62.15205,39.0,-1.35231
München-Pasing,München Hbf,200.0,-172.0,73.19668,38.0,1.20292
Berlin Südkreuz,Berlin Hbf,150.0,-116.0,53.89306,71.0,0.58318
Berlin-Spandau,Stendal Hbf,99.0,-22.0,19.92262,14.0,-0.32952
Stendal Hbf,Wolfsburg Hbf,33.0,-38.0,13.45522,13.0,-0.01376
Wolfsburg Hbf,Braunschweig Hbf,89.0,-25.0,24.89865,14.0,0.89362
Braunschweig Hbf,Hildesheim Hbf,18.0,-3.0,6.8172,11.0,1.09048
Hildesheim Hbf,Göttingen,40.0,-63.0,12.91317,13.0,-0.54351
Göttingen,Kassel-Wilhelmshöhe,197.0,-69.0,69.53998,46.0,1.59761
Kassel-Wilhelmshöhe,Fulda,56.0,-119.0,38.55348,27.0,-1.16789
München Hbf,Nürnberg Hbf,133.0,-23.0,44.27596,37.0,2.19786
Nürnberg Hbf,Erfurt Hbf,327.0,-94.0,54.41926,15.0,1.27926
Erfurt Hbf,Halle (Saale) Hbf,55.0,-93.0,32.71698,22.0,-0.934
Halle (Saale) Hbf,Berlin Südkreuz,104.0,-107.0,41.55593,22.0,1.42741
Berlin Hbf,Berlin Gesundbrunnen,74.0,-41.0,36.03261,20.0,0.59609
München Hbf,München-Pasing,56.0,-60.0,23.63025,38.0,-0.94115
München-Pasing,Augsburg Hbf,69.0,-10.0,31.98747,39.0,1.14093
Augsburg Hbf,Günzburg,16.0,-31.0,9.2808,4.0,0.14035
Günzburg,Ulm Hbf,29.0,-16.0,6.31847,4.0,0.8114
Ulm Hbf,Esslingen (Neckar),12.0,-128.0,39.92379,17.0,-4.32485
Stuttgart Hbf,Mannheim Hbf,72.0,-145.0,36.69349,34.0,0.28564
Mannheim Hbf,Heidelberg Hbf,116.0,-117.0,69.18988,19.0,-3.95665
Heidelberg Hbf,Bensheim,23.0,-15.0,7.28098,6.0,1.15284
Bensheim,Darmstadt Hbf,163.0,-4.0,26.43482,12.0,0.44699
Darmstadt Hbf,Frankfurt (Main) Hbf,44.0,-46.0,16.09141,11.0,1.78102
Köln Hbf,Köln/Bonn Flughafen,35.0,-11.0,7.65355,2.0,2.19328
Köln/Bonn Flughafen,Siegburg/Bonn,12.0,-5.0,3.16721,3.0,-0.12865
Siegburg/Bonn,Montabaur,50.0,-40.0,14.72753,16.0,-0.84048
Montabaur,Limburg Süd,12.0,-105.0,17.13498,21.0,-0.82202
Limburg Süd,Frankfurt am Main Flughafen Fernbahnhof,104.0,-12.0,36.15766,17.0,2.74055
Frankfurt am Main Flughafen Fernbahnhof,Frankfurt (Main) Hbf,164.0,-78.0,47.11362,43.0,0.26099
Frankfurt (Main) Hbf,Hanau Hbf,65.0,-92.0,26.91814,9.0,-0.05252
Hanau Hbf,Aschaffenburg Hbf,130.0,-81.0,35.41506,6.0,4.11978
Aschaffenburg Hbf,Würzburg Hbf,148.0,-39.0,40.2096,17.0,0.08383
Würzburg Hbf,Nürnberg Hbf,107.0,-46.0,40.1944,39.0,-0.02407
Nürnberg Hbf,Ingolstadt Hbf,55.0,-106.0,43.61854,26.0,-1.09816
Ingolstadt Hbf,München Hbf,156.0,-53.0,42.66655,25.0,1.55983
Kassel-Wilhelmshöhe,Göttingen,284.0,-185.0,62.37909,50.0,0.70192
Göttingen,Hildesheim Hbf,32.0,-89.0,15.67398,15.0,-0.07365
Hildesheim Hbf,Braunschweig Hbf,84.0,-6.0,15.60967,16.0,-0.07535
Braunschweig Hbf,Wolfsburg Hbf,88.0,-84.0,28.54268,20.0,-0.1717
Oberstdorf,Fischen,8.0,-2.0,1.81254,2.0,0.51667
Fischen,Sonthofen,11.0,0.0,3.52024,2.0,4.01667
Sonthofen,Immenstadt,57.0,-3.0,7.87383,2.0,0.08333
Immenstadt,Kempten (Allgäu) Hbf,15.0,-4.0,2.93407,2.0,0.025
Kempten (Allgäu) Hbf,Kaufbeuren,8.0,-10.0,2.61871,1.0,-1.3
Kaufbeuren,Buchloe,24.0,-3.0,3.33493,1.0,-0.71667
Buchloe,Augsburg Hbf,14.0,-5.0,4.18833,1.0,1.48333
Augsburg Hbf,Donauwörth,34.0,-7.0,9.82468,9.0,1.08654
Donauwörth,Treuchtlingen,37.0,-35.0,11.47298,5.0,0.25887
Treuchtlingen,Ansbach,4.0,-16.0,4.5896,2.0,-4.9
Ansbach,Würzburg Hbf,20.0,-3.0,5.76469,2.0,2.83333
Würzburg Hbf,Fulda,61.0,-13.0,22.123,18.0,-0.06832
Fulda,Kassel-Wilhelmshöhe,168.0,-152.0,58.84874,34.0,-0.30862
Göttingen,Hannover Hbf,105.0,-19.0,37.60084,32.0,0.06482
Hannover Hbf,Celle,133.0,-76.0,65.95938,20.0,1.12032
Celle,Uelzen,123.0,-114.0,38.35551,19.0,-0.47339
Uelzen,Lüneburg,160.0,-127.0,33.09149,19.0,-0.27696
Lüneburg,Hamburg-Harburg,125.0,-123.0,52.65597,22.0,1.40132
Hamburg-Harburg,Hamburg Hbf,175.0,-221.0,90.70654,56.0,3.46177
Hamburg Hbf,Hamburg Dammtor,97.0,-300.0,69.86374,41.0,-0.08129
Hamburg Dammtor,Hamburg-Altona,94.0,-285.0,66.65303,34.0,-1.52328
München Hbf,Ingolstadt Hbf,82.0,-57.0,26.22379,27.0,0.51176
Ingolstadt Hbf,Nürnberg Hbf,94.0,-61.0,41.27617,30.0,1.43887
Nürnberg Hbf,Würzburg Hbf,220.0,-56.0,47.29988,39.0,0.56856
Würzburg Hbf,Kassel-Wilhelmshöhe,207.0,-57.0,39.37629,1.0,-0.55932
Göttingen,Celle,242.0,-129.0,48.66043,1.0,10.91525
Celle,Hannover Hbf,62.0,-103.0,23.60807,16.0,-0.01362
Hannover Hbf,Uelzen,20.0,-160.0,22.31661,1.0,-4.62712
Kassel-Wilhelmshöhe,Düsseldorf Hbf,0.0,0.0,0.0,1.0,0.0
Duisburg Hbf,Essen Hbf,347.0,-121.0,59.51414,59.0,-0.18658
Essen Hbf,Eisenach,0.0,0.0,0.0,1.0,0.0
Eisenach,Gotha,26.0,-46.0,9.5551,15.0,-0.15802
Gotha,Bochum Hbf,38.0,-12.0,5.87112,1.0,-0.06667
Bochum Hbf,Erfurt Hbf,0.0,0.0,0.0,1.0,0.0
Erfurt Hbf,Köln Hbf,0.0,0.0,0.0,1.0,0.0
Köln Hbf,Dortmund Hbf,80.0,0.0,11.87052,1.0,4.65
Dortmund Hbf,Gera Hbf,0.0,0.0,0.0,1.0,0.0
Gera Hbf,Hermsdorf-Klosterlausnitz,3.0,-2.0,1.15527,4.0,-0.18696
Hermsdorf-Klosterlausnitz,Stadtroda,4.0,-1.0,1.24624,4.0,0.00435
Stadtroda,Jena-Göschwitz,2.0,-1.0,0.9457,4.0,0.03913
Jena-Göschwitz,Weimar,2.0,-1.0,0.45721,1.0,0.16667
Wolfsburg Hbf,Hannover Hbf,165.0,-46.0,65.97522,34.0,1.19782
Hannover Hbf,Nienburg (Weser),75.0,-14.0,18.04514,9.0,1.59283
Nienburg (Weser),Verden (Aller),57.0,-11.0,9.41653,9.0,0.02321
Verden (Aller),Hamburg-Harburg,18.0,-99.0,19.64826,1.0,-7.26786
Hamburg-Harburg,Bremen Hbf,191.0,-15.0,43.61623,18.0,2.77006
Bremen Hbf,Delmenhorst,38.0,-101.0,16.16272,11.0,0.25464
Delmenhorst,Oldenburg (Oldb) Hbf,104.0,-8.0,15.55658,2.0,3.76667
Hamburg Hbf,Hamburg-Harburg,102.0,-168.0,66.8032,52.0,-3.03325
Hamburg-Harburg,Hannover Hbf,111.0,-19.0,49.76792,9.0,10.65472
Hannover Hbf,Göttingen,91.0,-78.0,43.07842,35.0,0.26
Fulda,Würzburg Hbf,56.0,-74.0,29.6647,19.0,-0.05145
Nürnberg Hbf,Erlangen,38.0,-39.0,14.55473,16.0,1.03523
Erlangen,Bamberg,40.0,-3.0,12.04023,14.0,1.55102
Bamberg,Lichtenfels,17.0,-4.0,7.47081,5.0,1.07333
Lichtenfels,Kronach,7.0,-6.0,3.05167,5.0,-0.44333
Kronach,Ludwigsstadt,7.0,-5.0,2.90013,5.0,-0.12
Ludwigsstadt,Saalfeld (Saale),11.0,-5.0,4.39057,5.0,-1.95667
Saalfeld (Saale),Rudolstadt (Thür),3.0,-75.0,9.76025,5.0,-0.81667
Rudolstadt (Thür),Jena-Göschwitz,12.0,-2.0,3.29479,5.0,-0.01
Jena-Göschwitz,Jena Paradies,79.0,-2.0,10.46473,6.0,-0.08914
Jena Paradies,Naumburg (Saale) Hbf,61.0,-4.0,10.58347,6.0,-0.15042
Naumburg (Saale) Hbf,Weißenfels,6.0,-2.0,1.70835,6.0,0.06128
Weißenfels,Leipzig Hbf,15.0,-3.0,5.06955,6.0,0.32033
Treuchtlingen,Nürnberg Hbf,37.0,-5.0,7.63738,3.0,-0.12346
Bamberg,Coburg,10.0,-50.0,7.3594,2.0,0.00893
Coburg,Erfurt Hbf,211.0,-16.0,31.0612,3.0,1.0407
Erfurt Hbf,Leipzig Hbf,98.0,-109.0,44.59297,30.0,-1.03167
Köln Hbf,Siegburg/Bonn,64.0,-70.0,25.95508,13.0,0.18207
Frankfurt (Main) Hbf,Friedberg (Hess),17.0,-35.0,6.76172,6.0,-0.07075
Friedberg (Hess),Gießen,17.0,-2.0,6.70262,6.0,0.32973
Gießen,Marburg (Lahn),7.0,-2.0,4.02559,8.0,0.00752
Marburg (Lahn),Treysa,13.0,-4.0,5.16022,8.0,0.1391
Treysa,Wabern (Bz Kassel),3.0,-3.0,2.39891,6.0,-0.34595
Wabern (Bz Kassel),Kassel-Wilhelmshöhe,16.0,-3.0,8.34969,5.0,0.48256
Hamburg-Altona,Hamburg Dammtor,59.0,-33.0,21.98726,40.0,0.15964
Hamburg Dammtor,Hamburg Hbf,39.0,-40.0,12.58362,45.0,0.0602
Hamburg Hbf,Ludwigslust,89.0,-153.0,32.58988,12.0,-2.15294
Ludwigslust,Berlin-Spandau,71.0,-11.0,18.84123,4.0,-0.34632
Berlin Hbf,Berlin Südkreuz,118.0,-133.0,56.02534,61.0,-0.07595
Wolfsburg Hbf,Stendal Hbf,146.0,-45.0,28.54196,15.0,0.46354
Stendal Hbf,Berlin-Spandau,65.0,-147.0,42.90144,16.0,-1.69082
Norddeich Mole,Norddeich,38.0,-26.0,8.05984,7.0,-0.53883
Norddeich,Norden,35.0,-6.0,5.15011,9.0,0.08264
Norden,Emden Hbf,65.0,-7.0,11.81069,6.0,1.11782
Leer (Ostfriesl),Papenburg (Ems),18.0,-59.0,10.64364,11.0,-0.23855
Papenburg (Ems),Meppen,50.0,-4.0,10.52613,10.0,0.66898
Meppen,Lingen (Ems),9.0,-11.0,3.89929,11.0,-0.2733
Lingen (Ems),Rheine,57.0,-3.0,9.04508,10.0,0.6178
Rheine,Münster (Westf) Hbf,120.0,-6.0,24.07829,9.0,0.98833
Münster (Westf) Hbf,Recklinghausen Hbf,27.0,-74.0,27.50835,13.0,-1.78401
Recklinghausen Hbf,Wanne-Eickel Hbf,59.0,-38.0,11.5178,5.0,0.70438
Wanne-Eickel Hbf,Gelsenkirchen Hbf,30.0,-12.0,4.96885,5.0,-0.08333
Gelsenkirchen Hbf,Köln Messe/Deutz,11.0,-61.0,12.85815,1.0,-7.91667
Köln Messe/Deutz,Bonn-Beuel,96.0,-160.0,25.82262,4.0,0.74569
Bonn-Beuel,Oberhausen Hbf,48.0,-10.0,11.47444,2.0,4.56604
Oberhausen Hbf,Duisburg Hbf,68.0,-16.0,12.91334,6.0,0.73988
Düsseldorf Hbf,Bonn Hbf,25.0,-67.0,15.57374,1.0,-9.96667
Bonn Hbf,Remagen,45.0,-18.0,10.05839,8.0,0.89722
Remagen,Andernach,19.0,-14.0,4.57587,10.0,0.09599
Andernach,Koblenz Hbf,103.0,-34.0,18.97639,9.0,0.77778
Koblenz Hbf,Bingen (Rhein) Hbf,25.0,-56.0,10.83919,6.0,0.66011
Bingen (Rhein) Hbf,Mainz Hbf,212.0,-58.0,29.96679,6.0,-0.19591
Mainz Hbf,Worms Hbf,11.0,-48.0,7.1538,4.0,-0.27434
Worms Hbf,Mannheim Hbf,51.0,-7.0,9.72751,4.0,0.96903
Mannheim Hbf,Stuttgart Hbf,103.0,-114.0,41.33322,30.0,0.50337
Stuttgart Hbf,Köln Hbf,74.0,0.0,16.34,1.0,20.23333
Singen (Hohentwiel),Engen,8.0,-4.0,1.89854,4.0,0.35345
Engen,Tuttlingen,24.0,-3.0,3.89438,4.0,0.13793
Tuttlingen,Spaichingen,8.0,-3.0,2.63235,3.0,0.44068
Spaichingen,Rottweil,6.0,-1.0,2.10871,3.0,0.35593
Rottweil,Oberndorf (Neckar),4.0,-6.0,2.4034,3.0,-0.36158
Oberndorf (Neckar),Sulz (Neckar),9.0,-9.0,3.39028,4.0,0.25431
Sulz (Neckar),Horb,9.0,-1.0,2.6153,3.0,1.33333
Horb,Eutingen im Gäu,0.0,-22.0,4.83218,1.0,-4.85
Eutingen im Gäu,Bondorf (b Herrenberg),20.0,-1.0,5.14345,1.0,4.55
Bondorf (b Herrenberg),Gäufelden,2.0,-16.0,5.41789,3.0,-1.27119
Gäufelden,Herrenberg,16.0,-3.0,5.54313,3.0,0.72316
Herrenberg,Böblingen,13.0,-17.0,4.63386,3.0,-0.16949
Böblingen,Stuttgart Hbf,13.0,-3.0,4.49462,3.0,0.81921
Hannover Hbf,Hamburg-Harburg,68.0,-95.0,44.49957,15.0,-2.97059
Ostseebad Binz,Bergen auf Rügen,37.0,-5.0,7.61477,10.0,0.08769
Bergen auf Rügen,Stralsund Hbf,19.0,-37.0,8.65772,10.0,0.11786
Stralsund Hbf,Greifswald,60.0,-3.0,8.09286,8.0,0.07512
Greifswald,Ribnitz-Damgarten West,99.0,-138.0,30.07075,4.0,-2.4625
Ribnitz-Damgarten West,Züssow,59.0,-13.0,8.02001,2.0,0.575
Züssow,Anklam,24.0,-6.0,3.87596,8.0,-0.1247
Anklam,Pasewalk,17.0,-5.0,6.03762,7.0,1.04482
Pasewalk,Neustrelitz Hbf,19.0,-15.0,4.1632,1.0,-3.3
Neustrelitz Hbf,Prenzlau,141.0,-19.0,25.54833,2.0,8.90833
Prenzlau,Angermünde,4.0,-2.0,1.94163,7.0,-0.30812
Angermünde,Eberswalde Hbf,3.0,-2.0,2.09931,6.0,-0.74503
Eberswalde Hbf,Berlin Gesundbrunnen,120.0,-7.0,16.32225,6.0,0.59732
Berlin Gesundbrunnen,Berlin Hbf,135.0,-58.0,38.46572,29.0,1.32417
Hamburg-Harburg,Lüneburg,111.0,-95.0,41.29424,24.0,1.94365
Lüneburg,Uelzen,107.0,-109.0,28.80885,17.0,0.20823
Uelzen,Celle,19.0,-107.0,19.18501,17.0,-1.11064
Leipzig Hbf,Halle (Saale) Hbf,107.0,-140.0,51.02505,26.0,1.73958
Halle (Saale) Hbf,Köthen,13.0,-11.0,5.58648,12.0,0.13769
Köthen,Magdeburg Hbf,46.0,-8.0,10.99168,12.0,0.61613
Magdeburg Hbf,Helmstedt,39.0,-25.0,11.27045,7.0,0.21957
Helmstedt,Braunschweig Hbf,80.0,-5.0,12.38407,8.0,-0.27215
Braunschweig Hbf,Hannover Hbf,48.0,-80.0,19.46657,10.0,0.70618
Nienburg (Weser),Minden (Westf),1.0,-51.0,11.16972,1.0,-5.5
Minden (Westf),Verden (Aller),80.0,-9.0,17.41655,3.0,5.47778
Verden (Aller),Bremen Hbf,76.0,-55.0,23.99208,9.0,2.36402
Delmenhorst,Hude,18.0,-9.0,4.31322,9.0,0.12195
Hude,Oldenburg (Oldb) Hbf,17.0,-4.0,4.74779,9.0,-0.36773
Oldenburg (Oldb) Hbf,Bad Zwischenahn,45.0,-33.0,9.22213,8.0,0.37657
Bad Zwischenahn,Westerstede-Ocholt,10.0,-15.0,4.11036,9.0,-0.42214
Westerstede-Ocholt,Augustfehn,33.0,-4.0,5.32171,9.0,-0.35272
Augustfehn,Leer (Ostfriesl),160.0,-7.0,24.79715,8.0,0.75264
Hamburg Hbf,Büchen,97.0,-59.0,28.02349,12.0,-1.51077
Büchen,Ludwigslust,38.0,-4.0,6.41553,12.0,0.19077
Wittenberge,Berlin-Spandau,131.0,-10.0,55.58675,15.0,4.38554
Berlin Südkreuz,Lutherstadt Wittenberg Hauptbahnhof,69.0,-49.0,24.94926,15.0,0.40098
Lutherstadt Wittenberg Hauptbahnhof,Leipzig Hbf,53.0,-6.0,18.76945,13.0,-0.00994
Leipzig Hbf,Erfurt Hbf,274.0,-124.0,52.69414,19.0,-0.17718
Erfurt Hbf,Würzburg Hbf,0.0,-132.0,21.22047,1.0,-6.28333
Würzburg Hbf,Bamberg,243.0,0.0,33.16829,1.0,7.0
Bamberg,Augsburg Hbf,0.0,-243.0,33.11024,1.0,-7.01667
Augsburg Hbf,Erlangen,243.0,0.0,33.29013,1.0,7.26667
Erlangen,Nürnberg Hbf,264.0,-6.0,63.58126,17.0,3.0317
Berlin Hbf,Berlin Zoologischer Garten,19.0,-75.0,14.16623,7.0,-2.7799
Berlin Zoologischer Garten,Berlin-Spandau,75.0,-10.0,12.95622,7.0,1.71053
Berlin-Spandau,Wolfsburg Hbf,50.0,-33.0,30.35446,31.0,-0.16845
Hannover Hbf,Minden (Westf),82.0,-164.0,51.54724,20.0,0.36231
Minden (Westf),Bielefeld Hbf,164.0,-72.0,47.3096,10.0,3.29381
Wuppertal Hbf,Köln Hbf,60.0,-82.0,28.8274,11.0,2.47324
Köln Hbf,Bonn Hbf,60.0,-83.0,29.40483,17.0,0.78621
München Hbf,Augsburg Hbf,23.0,-6.0,5.02292,3.0,0.46893
Augsburg Hbf,Ulm Hbf,128.0,-12.0,30.27687,28.0,0.17897
Mannheim Hbf,Frankfurt am Main Flughafen Fernbahnhof,121.0,-44.0,41.11883,22.0,4.57731
Frankfurt am Main Flughafen Fernbahnhof,Limburg Süd,24.0,-208.0,58.97465,15.0,-10.29845
Limburg Süd,Siegburg/Bonn,106.0,-5.0,36.13554,3.0,21.1236
Siegburg/Bonn,Köln Messe/Deutz,123.0,-62.0,35.61814,15.0,1.20507
Köln Messe/Deutz,Düsseldorf Hbf,63.0,-125.0,45.9035,23.0,0.95163
Düsseldorf Hbf,Duisburg Hbf,67.0,-349.0,56.75862,47.0,1.1391
Essen Hbf,Bochum Hbf,79.0,-210.0,39.63572,43.0,-0.37159
Bochum Hbf,Dortmund Hbf,210.0,-37.0,50.9262,39.0,0.83854
Limburg Süd,Montabaur,20.0,-28.0,5.71459,12.0,-0.50791
Montabaur,Siegburg/Bonn,156.0,-48.0,43.69186,16.0,2.84795
Bruchsal,Wiesloch-Walldorf,7.0,-2.0,2.24673,5.0,0.22078
Wiesloch-Walldorf,Heidelberg Hbf,43.0,-7.0,8.99664,11.0,0.39254
Heidelberg Hbf,Neu-Edingen/Friedrichsfeld,0.0,-31.0,6.79219,2.0,-0.80556
Neu-Edingen/Friedrichsfeld,Bensheim,34.0,0.0,7.56783,2.0,1.11111
Friedberg (Hess),Göttingen,22.0,-18.0,7.76101,1.0,-0.33333
Hannover Hbf,Gießen,77.0,0.0,16.96355,1.0,5.80952
Treysa,Kassel-Wilhelmshöhe,49.0,-8.0,8.8337,2.0,0.51852
Kassel-Wilhelmshöhe,Wabern (Bz Kassel),21.0,-35.0,10.59492,8.0,0.23148
Wabern (Bz Kassel),Treysa,14.0,-2.0,4.50124,8.0,0.07407
Treysa,Marburg (Lahn),18.0,-5.0,6.52597,9.0,-0.06936
Marburg (Lahn),Gießen,25.0,-16.0,8.51328,9.0,0.03468
Gießen,Friedberg (Hess),4.0,-3.0,2.35697,9.0,-0.14451
Friedberg (Hess),Frankfurt (Main) Hbf,51.0,-6.0,9.02742,7.0,0.22727
Berlin Südkreuz,Berlin Ostbahnhof,64.0,-317.0,45.16455,3.0,-6.09211
Stuttgart Hbf,Heidelberg Hbf,30.0,-126.0,18.84764,3.0,-2.17222
Heidelberg Hbf,Mannheim Hbf,117.0,-43.0,25.51858,15.0,1.55774
Mannheim Hbf,Mainz Hbf,133.0,-22.0,24.7549,11.0,2.73664
