source,target,sumDelay,numTrains,numDelayedTrains,avgDelay,punctuality
Stendal Hbf,Braunschweig Hbf,204.0,51,35,4.0,0.6863
Brandenburg Hbf,Berlin-Spandau,-131.0,50,29,-2.62,0.58
Berlin-Spandau,Potsdam Hbf,159.0,48,26,3.3125,0.5417
Potsdam Hbf,Berlin Gesundbrunnen,-62.0,49,30,-1.2653,0.6122
Berlin Gesundbrunnen,Berlin-Wannsee,175.0,33,25,5.303,0.7576
Bonn-Beuel,Koblenz Hbf,1197.0,84,43,14.25,0.5119
Delmenhorst,Osnabrück Hbf,-41.0,34,20,-1.2059,0.5882
Saarbrücken Hbf,Homburg (Saar) Hbf,-13.0,50,26,-0.26,0.52
Homburg (Saar) Hbf,Kaiserslautern Hbf,-5.0,50,31,-0.1,0.62
Kaiserslautern Hbf,Neustadt (Weinstr) Hbf,-30.0,50,28,-0.6,0.56
Neustadt (Weinstr) Hbf,Mannheim Hbf,84.0,50,37,1.68,0.74
Erfurt Hbf,Berlin Gesundbrunnen,-944.0,56,47,-16.8571,0.8393
Berlin Ostbahnhof,Leipzig Hbf,-40.0,53,4,-0.7547,0.0755
Leipzig Hbf,Berlin-Spandau,88.0,96,7,0.9167,0.0729
Berlin-Spandau,Halle (Saale) Hbf,862.0,53,51,16.2642,0.9623
Ulm Hbf,Neu-Ulm,-28.0,41,28,-0.6829,0.6829
Neu-Ulm,Günzburg,25.0,44,34,0.5682,0.7727
Frankfurt am Main Flughafen Fernbahnhof,Wiesbaden Hbf,-649.0,55,55,-11.8,1.0
Hamburg Dammtor,Neumünster,114.0,53,39,2.1509,0.7358
Neumünster,Kiel Hbf,22.0,107,38,0.2056,0.3551
Erfurt Hbf,Frankfurt (Main) Hbf,1349.0,45,37,29.9778,0.8222
Mannheim Hbf,Neustadt (Weinstr) Hbf,-11.0,98,80,-0.1122,0.8163
Neustadt (Weinstr) Hbf,Kaiserslautern Hbf,3.0,98,78,0.0306,0.7959
Kaiserslautern Hbf,Homburg (Saar) Hbf,103.0,98,85,1.051,0.8673
Homburg (Saar) Hbf,Saarbrücken Hbf,-207.0,99,83,-2.0909,0.8384
Bamberg,Leipzig Hbf,-265.0,57,40,-4.6491,0.7018
Hamburg-Altona,Neumünster,-94.0,47,9,-2.0,0.1915
Wuppertal Hbf,Köln Messe/Deutz,-1908.0,94,86,-20.2979,0.9149
Bonn-Beuel,Düsseldorf Hbf,88.0,46,4,1.913,0.087
Hagen Hbf,Köln Messe/Deutz,-2093.0,113,111,-18.5221,0.9823
Bonn Hbf,Bonn-Beuel,-1105.0,51,41,-21.6667,0.8039
Nürnberg Hbf,Coburg,374.0,49,49,7.6327,1.0
Berlin Südkreuz,Erfurt Hbf,-650.0,107,96,-6.0748,0.8972
Halle (Saale) Hbf,Nürnberg Hbf,1161.0,58,57,20.0172,0.9828
Schwäbisch Gmünd,Schorndorf,-46.0,51,48,-0.902,0.9412
Schorndorf,Stuttgart Hbf,138.0,51,51,2.7059,1.0
Pforzheim Hbf,Karlsruhe-Durlach,187.0,51,42,3.6667,0.8235
Karlsruhe Hbf,Frankfurt am Main Flughafen Fernbahnhof,21.0,22,5,0.9545,0.2273
