date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-04-13,0.0,5.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,7.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0
2024-04-12,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,8.0,11.0,22.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0
2024-04-10,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,1.0,0.0,1.0,5.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
2024-04-08,0.0,5.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,26.0,32.0,12.0,13.0,12.0,0.0,0.0,19.0,0.0
2024-04-07,0.0,1.0,31.0,31.0,31.0,31.0,29.0,27.0,22.0,23.0,20.0,24.0,23.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0
2024-04-06,0.0,10.0,8.0,25.0,44.0,43.0,45.0,43.0,37.0,37.0,33.0,33.0,35.0,15.0,12.0,11.0,0.0,0.0,15.0,0.0
2024-04-05,0.0,10.0,0.0,0.0,13.0,13.0,14.0,12.0,7.0,7.0,3.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
2024-04-04,0.0,1.0,5.0,4.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0
2024-04-03,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0
2024-04-02,0.0,1.0,1.0,2.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
2024-04-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
