date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-04-14,0.0,30.0,31.0,38.0,42.0,40.0,42.0,45.0,8.0,10.0,4.0,0.0,16.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0
2024-04-13,0.0,31.0,35.0,38.0,44.0,45.0,45.0,45.0,2.0,3.0,0.0,0.0,16.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0
2024-04-12,0.0,31.0,38.0,38.0,51.0,49.0,50.0,50.0,35.0,35.0,29.0,20.0,11.0,11.0,10.0,11.0,8.0,7.0,6.0,7.0,4.0,5.0,7.0,0.0
2024-04-11,0.0,30.0,32.0,39.0,40.0,39.0,39.0,39.0,36.0,35.0,2.0,3.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,0.0
2024-04-10,0.0,30.0,31.0,30.0,42.0,40.0,50.0,50.0,21.0,23.0,19.0,10.0,5.0,4.0,4.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,32.0,38.0,37.0,45.0,43.0,45.0,50.0,23.0,23.0,17.0,8.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
2024-04-08,0.0,30.0,30.0,29.0,40.0,40.0,39.0,40.0,3.0,4.0,6.0,6.0,16.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,9.0,0.0,2.0,0.0
2024-04-07,0.0,22.0,20.0,19.0,20.0,19.0,18.0,30.0,2.0,3.0,0.0,0.0,12.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,23.0,23.0,37.0,0.0
2024-04-06,0.0,30.0,42.0,42.0,43.0,42.0,44.0,46.0,18.0,19.0,17.0,15.0,7.0,6.0,8.0,9.0,6.0,6.0,7.0,7.0,8.0,8.0,10.0,0.0
2024-04-05,0.0,0.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-04-04,0.0,0.0,4.0,3.0,8.0,6.0,9.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-03,0.0,1.0,6.0,8.0,9.0,7.0,9.0,10.0,14.0,13.0,0.0,0.0,0.0,0.0,9.0,10.0,9.0,8.0,7.0,7.0,2.0,5.0,9.0,0.0
2024-04-02,0.0,0.0,2.0,2.0,3.0,2.0,13.0,20.0,9.0,9.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-04-01,0.0,0.0,0.0,1.0,4.0,5.0,5.0,10.0,3.0,4.0,2.0,25.0,35.0,34.0,38.0,39.0,36.0,36.0,34.0,34.0,31.0,31.0,35.0,0.0
