date,München_Hbf.in,München_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erlangen.in,Erlangen.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Bitterfeld.in,Bitterfeld.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out
2024-04-29,0.0,6.0,0.0,0.0,4.0,4.0,4.0,3.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
2024-04-28,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,9.0,9.0,10.0,2.0,0.0,0.0,13.0,0.0
2024-04-27,0.0,2.0,0.0,0.0,3.0,3.0,4.0,4.0,3.0,2.0,0.0,1.0,1.0,3.0,7.0,12.0,34.0,35.0,4.0,4.0,5.0,5.0,0.0,0.0,4.0,0.0
2024-04-26,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,6.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
2024-04-25,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,6.0,7.0,4.0,5.0,5.0,5.0,0.0,0.0,4.0,0.0
2024-04-24,0.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,0.0
2024-04-23,0.0,2.0,0.0,0.0,12.0,13.0,20.0,20.0,20.0,19.0,14.0,14.0,20.0,22.0,21.0,21.0,21.0,21.0,18.0,18.0,18.0,18.0,0.0,0.0,19.0,0.0
2024-04-22,0.0,2.0,0.0,0.0,3.0,3.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0
2024-04-21,0.0,9.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,35.0,49.0,49.0,0.0,0.0,86.0,85.0,85.0,69.0,0.0,0.0,84.0,0.0
2024-04-20,0.0,1.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
