date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-20,0.0,0.0,3.0,3.0,0.0,4.0,2.0,3.0,0.0,0.0,2.0,3.0,4.0,4.0,8.0,6.0,7.0,7.0,7.0,7.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,11.0,5.0,8.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2024-05-19,0.0,56.0,54.0,54.0,54.0,54.0,64.0,64.0,65.0,65.0,61.0,61.0,62.0,61.0,67.0,66.0,68.0,67.0,69.0,69.0,67.0,68.0,68.0,70.0,0.0,0.0,83.0,84.0,85.0,80.0,100.0,101.0,90.0,91.0,91.0,91.0,88.0,88.0,88.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,7.0,7.0,7.0,7.0,6.0,6.0,20.0,19.0,0.0,0.0,15.0,16.0,15.0,10.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,5.0,3.0,3.0,5.0,6.0,6.0,4.0,5.0,2.0,2.0,0.0,0.0,9.0,10.0,23.0,18.0,23.0,22.0,12.0,11.0,10.0,23.0,20.0,21.0,21.0,0.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,6.0,6.0,4.0,2.0,5.0,5.0,11.0,11.0,10.0,10.0,7.0,35.0,63.0,63.0,39.0,43.0,48.0,43.0,45.0,47.0,39.0,40.0,41.0,42.0,42.0,42.0,43.0,0.0
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,13.0,14.0,12.0,12.0,14.0,15.0,0.0,0.0,10.0,12.0,16.0,12.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,8.0,8.0,8.0,13.0,14.0,14.0,15.0,10.0,11.0,0.0,0.0,12.0,18.0,23.0,20.0,17.0,16.0,21.0,20.0,23.0,24.0,22.0,23.0,22.0,0.0
2024-05-12,0.0,6.0,4.0,3.0,3.0,2.0,0.0,1.0,0.0,44.0,44.0,42.0,46.0,46.0,55.0,54.0,58.0,57.0,58.0,58.0,55.0,56.0,53.0,54.0,0.0,0.0,67.0,68.0,67.0,62.0,82.0,81.0,77.0,78.0,79.0,80.0,78.0,79.0,78.0,0.0
2024-05-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,4.0,6.0,6.0,4.0,4.0,2.0,2.0,0.0,0.0,31.0,33.0,32.0,27.0,30.0,30.0,19.0,20.0,31.0,30.0,31.0,31.0,30.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,7.0,7.0,5.0,5.0,9.0,17.0,0.0,0.0,24.0,25.0,24.0,19.0,16.0,15.0,7.0,6.0,5.0,4.0,2.0,1.0,1.0,0.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,5.0,10.0,11.0,10.0,15.0,13.0,15.0,0.0,0.0,22.0,23.0,25.0,19.0,20.0,19.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,0.0
2024-05-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,10.0,10.0,8.0,8.0,4.0,5.0,0.0,0.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,11.0,21.0,27.0,27.0,30.0,30.0,27.0,28.0,25.0,27.0,0.0,0.0,28.0,30.0,49.0,43.0,48.0,47.0,42.0,44.0,44.0,43.0,40.0,41.0,40.0,0.0
2024-05-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,8.0,9.0,9.0,7.0,8.0,4.0,4.0,0.0,0.0,0.0,3.0,8.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,7.0,5.0,30.0,30.0,30.0,28.0,28.0,27.0,26.0,21.0,20.0,24.0,24.0,26.0,25.0,29.0,29.0,32.0,33.0,30.0,31.0,45.0,46.0,0.0,0.0,43.0,45.0,47.0,41.0,43.0,42.0,35.0,34.0,31.0,31.0,30.0,31.0,31.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,137.0,138.0,139.0,134.0,131.0,131.0,125.0,125.0,123.0,124.0,122.0,122.0,122.0,0.0
2024-04-29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,4.0,4.0,10.0,10.0,9.0,7.0,8.0,8.0,13.0,13.0,11.0,12.0,14.0,14.0,0.0,0.0,10.0,12.0,12.0,8.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,0.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0
2024-04-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,8.0,5.0,7.0,10.0,11.0,0.0,0.0,9.0,11.0,10.0,4.0,6.0,5.0,8.0,8.0,4.0,5.0,3.0,3.0,4.0,0.0
2024-04-26,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,7.0,27.0,27.0,29.0,30.0,29.0,29.0,0.0,0.0,28.0,30.0,36.0,31.0,31.0,33.0,32.0,32.0,36.0,36.0,35.0,34.0,34.0,0.0
2024-04-25,0.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,24.0,25.0,26.0,27.0,27.0,28.0,0.0,0.0,23.0,36.0,75.0,70.0,72.0,70.0,74.0,74.0,79.0,80.0,77.0,78.0,78.0,0.0
2024-04-24,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,1.0,0.0,3.0,6.0,6.0,8.0,8.0,12.0,12.0,0.0,0.0,16.0,18.0,19.0,14.0,16.0,15.0,3.0,3.0,2.0,3.0,9.0,10.0,10.0,0.0
2024-04-22,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,9.0,9.0,0.0,0.0,5.0,6.0,8.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,5.0,4.0,4.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,5.0,7.0,7.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,5.0,7.0,6.0,0.0
2024-04-20,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,6.0,7.0,7.0,5.0,5.0,3.0,8.0,0.0,0.0,7.0,8.0,25.0,20.0,20.0,18.0,2.0,2.0,10.0,8.0,8.0,8.0,7.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,10.0,15.0,11.0,11.0,14.0,14.0,15.0,16.0,14.0,12.0,0.0,0.0,11.0,12.0,14.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,12.0,10.0,9.0,9.0,7.0,6.0,6.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,48.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,7.0,7.0,7.0,6.0,6.0,3.0,2.0,0.0,0.0,2.0,4.0,13.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,5.0,4.0,7.0,7.0,7.0,7.0,9.0,7.0,0.0,0.0,10.0,12.0,49.0,43.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,9.0,7.0,7.0,6.0,7.0,13.0,11.0,11.0,9.0,8.0,0.0,0.0,15.0,17.0,17.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,12.0,12.0,11.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,10.0,7.0,8.0,4.0,4.0,0.0,0.0,20.0,22.0,23.0,17.0,17.0,16.0,12.0,11.0,4.0,5.0,3.0,2.0,4.0,0.0
2024-04-11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,6.0,8.0,9.0,8.0,8.0,0.0,0.0,5.0,6.0,8.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,1.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,11.0,15.0,10.0,9.0,10.0,9.0,8.0,5.0,8.0,5.0,6.0,5.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,10.0,8.0,9.0,8.0,7.0,0.0,0.0,6.0,6.0,8.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0
2024-04-08,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,10.0,12.0,22.0,18.0,19.0,18.0,6.0,7.0,3.0,3.0,4.0,4.0,9.0,0.0
2024-04-07,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,5.0,6.0,3.0,3.0,4.0,0.0,0.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,5.0,0.0,0.0,5.0,7.0,6.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,13.0,14.0,13.0,13.0,19.0,25.0,0.0,0.0,24.0,27.0,28.0,23.0,26.0,28.0,16.0,17.0,17.0,18.0,20.0,21.0,21.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,5.0,9.0,9.0,8.0,8.0,14.0,15.0,0.0,0.0,16.0,18.0,20.0,15.0,15.0,14.0,21.0,25.0,22.0,23.0,21.0,21.0,20.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,18.0,23.0,21.0,22.0,20.0,21.0,0.0,0.0,20.0,23.0,23.0,20.0,20.0,19.0,32.0,32.0,29.0,29.0,31.0,29.0,31.0,0.0
2024-04-02,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,4.0,2.0,5.0,8.0,13.0,14.0,12.0,12.0,10.0,9.0,0.0,0.0,5.0,6.0,20.0,15.0,20.0,19.0,30.0,30.0,29.0,29.0,27.0,28.0,28.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,7.0,7.0,0.0,0.0,5.0,8.0,6.0,2.0,1.0,2.0,18.0,19.0,18.0,18.0,15.0,16.0,15.0,0.0
