date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Uelzen.in,Uelzen.out,Celle.in,Celle.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-09,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,3.0,10.0,2.0,2.0,0.0,10.0,6.0,10.0,3.0,0.0,0.0,0.0,1.0,0.0
2024-05-08,0.0,0.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,10.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,5.0,4.0,4.0,5.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,7.0,6.0,5.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,1.0,3.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,7.0,7.0,7.0,10.0,11.0,10.0,10.0,0.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
2024-05-03,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,6.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,8.0,0.0
2024-05-02,0.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,8.0,8.0,4.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0
2024-05-01,0.0,14.0,15.0,16.0,15.0,18.0,19.0,18.0,17.0,16.0,18.0,26.0,25.0,25.0,25.0,26.0,23.0,23.0,20.0,18.0,16.0,12.0,6.0,5.0,3.0,0.0
2024-04-30,0.0,2.0,4.0,5.0,4.0,5.0,7.0,7.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,6.0,2.0,1.0,0.0,0.0,6.0,5.0,10.0,0.0
2024-04-29,0.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,3.0,6.0,7.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,2.0,5.0,0.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,0.0,2.0,2.0,5.0,6.0,5.0,7.0,7.0,8.0,8.0,10.0,10.0,12.0,13.0,16.0,18.0,16.0,17.0,16.0,15.0,10.0,7.0,8.0,46.0,47.0,0.0
2024-04-25,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,6.0,5.0,7.0,8.0,9.0,10.0,10.0,11.0,10.0,15.0,13.0,11.0,9.0,9.0,11.0,0.0
2024-04-24,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,5.0,4.0,0.0,0.0,2.0,1.0,7.0,4.0,10.0,10.0,8.0,0.0
2024-04-22,0.0,0.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,5.0,5.0,8.0,7.0,5.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,0.0,0.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,14.0,0.0,0.0,98.0,100.0,101.0,102.0,99.0,99.0,104.0,103.0,97.0,97.0,98.0,0.0
2024-04-18,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,0.0,1.0,6.0,4.0,4.0,5.0,6.0,5.0,4.0,0.0
2024-04-17,0.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,85.0,86.0,83.0,84.0,82.0,81.0,81.0,79.0,73.0,75.0,82.0,0.0
2024-04-16,0.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,6.0,6.0,7.0,6.0,12.0,13.0,30.0,30.0,30.0,31.0,35.0,34.0,30.0,27.0,23.0,22.0,23.0,0.0
2024-04-15,0.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,16.0,17.0,17.0,18.0,15.0,16.0,14.0,12.0,9.0,7.0,2.0,1.0,3.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,0.0,1.0,0.0,1.0,6.0,5.0,6.0,6.0,4.0,3.0,3.0,6.0,12.0,12.0,12.0,12.0,6.0,7.0,8.0,8.0,6.0,5.0,3.0,3.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,4.0,5.0,6.0,12.0,11.0,19.0,20.0,19.0,19.0,17.0,15.0,10.0,7.0,11.0,10.0,7.0,0.0
2024-04-11,0.0,0.0,1.0,2.0,4.0,4.0,6.0,5.0,7.0,8.0,8.0,8.0,21.0,21.0,34.0,35.0,31.0,32.0,36.0,35.0,35.0,33.0,26.0,26.0,38.0,0.0
2024-04-10,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,13.0,13.0,31.0,31.0,26.0,26.0,24.0,23.0,21.0,19.0,16.0,15.0,14.0,0.0
2024-04-09,0.0,1.0,1.0,2.0,9.0,9.0,10.0,10.0,8.0,7.0,8.0,8.0,7.0,7.0,11.0,11.0,6.0,7.0,8.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,2.0,7.0,7.0,6.0,7.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
2024-04-05,0.0,16.0,16.0,14.0,11.0,11.0,12.0,11.0,11.0,11.0,14.0,13.0,54.0,54.0,65.0,66.0,61.0,62.0,59.0,59.0,55.0,52.0,44.0,44.0,49.0,0.0
2024-04-04,0.0,0.0,1.0,1.0,7.0,7.0,4.0,4.0,3.0,2.0,5.0,4.0,17.0,17.0,17.0,18.0,19.0,19.0,15.0,14.0,9.0,7.0,0.0,1.0,9.0,0.0
2024-04-03,0.0,14.0,13.0,13.0,11.0,11.0,15.0,15.0,19.0,19.0,20.0,19.0,18.0,17.0,28.0,28.0,24.0,25.0,25.0,23.0,18.0,18.0,12.0,11.0,13.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,5.0,5.0,4.0,4.0,0.0,0.0,16.0,16.0,15.0,16.0,15.0,14.0,17.0,14.0,9.0,8.0,8.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
