date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Fulda.in,Fulda.out,Bad_Hersfeld.in,Bad_Hersfeld.out,Eisenach.in,Eisenach.out,Gotha.in,Gotha.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-10,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,4.0,5.0,2.0,2.0,14.0,15.0,14.0,15.0,17.0,17.0,14.0,0.0
2024-05-09,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,6.0,5.0,4.0,0.0
2024-05-08,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2024-05-07,0.0,4.0,0.0,1.0,6.0,6.0,9.0,9.0,7.0,7.0,4.0,3.0,2.0,1.0,9.0,11.0,14.0,14.0,13.0,0.0
2024-05-06,0.0,6.0,0.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2024-05-05,0.0,4.0,0.0,2.0,7.0,8.0,9.0,10.0,8.0,8.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0
2024-05-04,0.0,11.0,4.0,4.0,5.0,5.0,7.0,8.0,6.0,7.0,5.0,5.0,1.0,1.0,0.0,3.0,4.0,4.0,4.0,0.0
2024-05-03,0.0,4.0,1.0,16.0,17.0,17.0,22.0,24.0,22.0,23.0,20.0,20.0,18.0,24.0,23.0,24.0,24.0,25.0,24.0,0.0
2024-05-02,0.0,2.0,0.0,2.0,4.0,4.0,6.0,7.0,9.0,9.0,7.0,7.0,6.0,6.0,2.0,3.0,2.0,1.0,1.0,0.0
2024-05-01,0.0,4.0,0.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,2.0,0.0,0.0,2.0,3.0,5.0,7.0,9.0,9.0,7.0,8.0,4.0,11.0,19.0,19.0,24.0,25.0,21.0,0.0
2024-04-29,0.0,2.0,0.0,2.0,5.0,5.0,7.0,7.0,6.0,6.0,6.0,5.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0
2024-04-28,0.0,2.0,4.0,5.0,6.0,6.0,7.0,9.0,7.0,8.0,5.0,5.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0
2024-04-27,0.0,2.0,0.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-04-26,0.0,8.0,2.0,3.0,4.0,4.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,6.0,4.0,4.0,2.0,1.0,1.0,0.0
2024-04-25,0.0,4.0,0.0,1.0,2.0,3.0,5.0,6.0,4.0,5.0,3.0,3.0,0.0,1.0,5.0,6.0,7.0,7.0,6.0,0.0
2024-04-24,0.0,3.0,10.0,10.0,13.0,13.0,16.0,16.0,15.0,16.0,13.0,14.0,8.0,13.0,11.0,11.0,12.0,12.0,10.0,0.0
2024-04-23,0.0,4.0,0.0,0.0,8.0,8.0,9.0,10.0,9.0,9.0,6.0,6.0,1.0,5.0,4.0,5.0,4.0,5.0,3.0,0.0
2024-04-22,0.0,3.0,0.0,1.0,3.0,4.0,6.0,7.0,5.0,6.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-04-21,0.0,27.0,0.0,0.0,0.0,0.0,49.0,51.0,49.0,49.0,46.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,0.0
2024-04-16,0.0,3.0,0.0,0.0,6.0,7.0,9.0,10.0,9.0,9.0,7.0,7.0,5.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,0.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,0.0,3.0,0.0,1.0,2.0,2.0,4.0,5.0,3.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,3.0,9.0,10.0,11.0,13.0,14.0,13.0,13.0,12.0,13.0,7.0,7.0,5.0,6.0,3.0,3.0,1.0,0.0
2024-04-11,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,8.0,7.0,0.0
