date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Ludwigslust.in,Ludwigslust.out,Wittenberge.in,Wittenberge.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Bitterfeld.in,Bitterfeld.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Coburg.in,Coburg.out,Bamberg.in,Bamberg.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out
2024-05-02,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,9.0,8.0,1.0,2.0,1.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0
2024-05-01,0.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,5.0,5.0,2.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2024-04-30,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,5.0,7.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-04-29,0.0,1.0,0.0,1.0,4.0,6.0,0.0,0.0,10.0,9.0,10.0,13.0,13.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,6.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0
2024-04-28,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,7.0,8.0,13.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0
2024-04-27,0.0,1.0,9.0,10.0,9.0,11.0,0.0,0.0,17.0,16.0,13.0,12.0,10.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,8.0,8.0,8.0,10.0,10.0,0.0,0.0,16.0,16.0,19.0,18.0,20.0,11.0,10.0,10.0,0.0,0.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
2024-04-24,0.0,0.0,1.0,7.0,7.0,7.0,0.0,0.0,7.0,6.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-04-23,0.0,0.0,9.0,10.0,10.0,12.0,0.0,0.0,30.0,30.0,28.0,27.0,26.0,17.0,16.0,16.0,0.0,0.0,12.0,13.0,14.0,13.0,10.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,1.0,0.0
2024-04-22,0.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,4.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
