date,Kiel_Hbf.in,Kiel_Hbf.out,Neumünster.in,Neumünster.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Limburg_Süd.in,Limburg_Süd.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,7.0,7.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,2.0,3.0,3.0,1.0,5.0,10.0,7.0,8.0,6.0,6.0,10.0,11.0,10.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,3.0,0.0
2024-04-19,0.0,3.0,3.0,7.0,52.0,60.0,61.0,61.0,57.0,57.0,59.0,60.0,60.0,61.0,67.0,65.0,68.0,66.0,70.0,70.0,68.0,70.0,70.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,61.0,62.0,57.0,55.0,54.0,40.0,41.0,43.0,43.0,46.0,47.0,51.0,0.0
2024-04-18,0.0,1.0,1.0,30.0,12.0,13.0,12.0,13.0,12.0,13.0,6.0,7.0,5.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,4.0,3.0,1.0,1.0,2.0,4.0,6.0,6.0,8.0,0.0
2024-04-17,0.0,1.0,0.0,0.0,11.0,10.0,10.0,10.0,15.0,15.0,7.0,7.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,9.0,9.0,4.0,2.0,4.0,8.0,8.0,5.0,6.0,5.0,4.0,3.0,0.0
2024-04-16,0.0,14.0,12.0,13.0,40.0,38.0,42.0,43.0,48.0,48.0,42.0,43.0,41.0,42.0,47.0,46.0,53.0,53.0,58.0,58.0,56.0,56.0,0.0,0.0,0.0,0.0,59.0,58.0,0.0,0.0,54.0,56.0,63.0,58.0,57.0,57.0,43.0,44.0,42.0,42.0,40.0,40.0,46.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,6.0,6.0,6.0,7.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,8.0,18.0,12.0,19.0,17.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,16.0,18.0,18.0,14.0,14.0,11.0,12.0,9.0,9.0,11.0,10.0,12.0,13.0,12.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,6.0,7.0,9.0,5.0,8.0,7.0,4.0,3.0,7.0,7.0,14.0,13.0,13.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,2.0,3.0,4.0,7.0,6.0,4.0,4.0,5.0,9.0,6.0,8.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,11.0,12.0,14.0,9.0,8.0,20.0,0.0,0.0,111.0,113.0,116.0,115.0,115.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.0,10.0,5.0,5.0,7.0,9.0,11.0,10.0,12.0,11.0,14.0,14.0,14.0,15.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,14.0,15.0,16.0,11.0,15.0,19.0,8.0,7.0,6.0,10.0,20.0,20.0,21.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,4.0,5.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,18.0,20.0,25.0,20.0,20.0,21.0,8.0,8.0,7.0,7.0,5.0,5.0,4.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,5.0,5.0,2.0,2.0,1.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,15.0,14.0,15.0,11.0,11.0,6.0,8.0,7.0,8.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,28.0,22.0,20.0,0.0,0.0,16.0,17.0,20.0,18.0,18.0,18.0,11.0,11.0,11.0,11.0,14.0,13.0,14.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,22.0,27.0,21.0,21.0,19.0,19.0,29.0,28.0,28.0,26.0,34.0,35.0,33.0,34.0,0.0,0.0,0.0,0.0,32.0,40.0,0.0,0.0,50.0,51.0,51.0,46.0,46.0,46.0,38.0,38.0,42.0,42.0,42.0,42.0,44.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,19.0,18.0,12.0,12.0,13.0,13.0,16.0,24.0,26.0,26.0,34.0,35.0,33.0,34.0,0.0,0.0,0.0,0.0,36.0,35.0,0.0,0.0,30.0,33.0,33.0,28.0,31.0,33.0,20.0,20.0,20.0,24.0,24.0,22.0,27.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,5.0,8.0,2.0,2.0,2.0,4.0,10.0,9.0,15.0,15.0,23.0,24.0,22.0,23.0,0.0,0.0,0.0,0.0,26.0,24.0,0.0,0.0,22.0,23.0,20.0,16.0,15.0,14.0,9.0,10.0,5.0,5.0,3.0,3.0,2.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,29.0,28.0,28.0,24.0,24.0,19.0,19.0,22.0,24.0,30.0,28.0,30.0,30.0,29.0,30.0,28.0,29.0,0.0,0.0,0.0,0.0,30.0,27.0,0.0,0.0,29.0,30.0,30.0,25.0,31.0,31.0,38.0,38.0,39.0,39.0,36.0,37.0,43.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,7.0,7.0,10.0,8.0,11.0,11.0,11.0,13.0,15.0,16.0,0.0,0.0,0.0,0.0,21.0,20.0,0.0,0.0,18.0,19.0,18.0,12.0,15.0,18.0,25.0,24.0,26.0,30.0,29.0,29.0,29.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,11.0,12.0,13.0,10.0,10.0,7.0,7.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,18.0,20.0,20.0,0.0,0.0,0.0,0.0,22.0,18.0,0.0,0.0,12.0,13.0,11.0,6.0,0.0,0.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,7.0,8.0,13.0,12.0,15.0,13.0,28.0,29.0,31.0,32.0,0.0,0.0,0.0,0.0,33.0,31.0,0.0,0.0,34.0,35.0,32.0,27.0,26.0,25.0,33.0,32.0,30.0,30.0,29.0,28.0,28.0,0.0
