date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-06,0.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,6.0,0.0,0.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,5.0,5.0,3.0,3.0,1.0,0.0,2.0,0.0
2024-05-05,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,18.0,79.0,83.0,79.0,81.0,0.0,0.0,0.0,0.0,77.0,78.0,0.0,0.0,76.0,78.0,78.0,80.0,78.0,77.0,77.0,76.0,80.0,78.0,81.0,83.0,90.0,89.0,91.0,91.0,88.0,89.0,89.0,0.0
2024-05-04,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,47.0,48.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,0.0,0.0,2.0,3.0,7.0,7.0,7.0,5.0,5.0,5.0,6.0,5.0,24.0,23.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0
2024-05-03,0.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,13.0,12.0,8.0,12.0,13.0,0.0,0.0,5.0,10.0,13.0,13.0,17.0,17.0,0.0,0.0,15.0,15.0,16.0,16.0,15.0,13.0,11.0,9.0,12.0,10.0,6.0,5.0,7.0,6.0,7.0,6.0,2.0,2.0,2.0,0.0
2024-05-02,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,6.0,6.0,6.0,7.0,9.0,12.0,14.0,13.0,15.0,13.0,29.0,31.0,47.0,47.0,51.0,51.0,51.0,51.0,51.0,0.0
2024-05-01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,8.0,10.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,7.0,0.0,0.0,6.0,5.0,7.0,7.0,11.0,10.0,11.0,10.0,15.0,13.0,6.0,7.0,4.0,4.0,5.0,5.0,2.0,2.0,1.0,0.0
2024-04-30,0.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,10.0,12.0,0.0,0.0,0.0,0.0,15.0,15.0,21.0,21.0,0.0,0.0,18.0,17.0,20.0,20.0,29.0,27.0,29.0,28.0,25.0,25.0,19.0,19.0,19.0,19.0,26.0,33.0,31.0,31.0,41.0,0.0
2024-04-29,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,6.0,17.0,33.0,52.0,50.0,54.0,52.0,45.0,45.0,53.0,53.0,53.0,53.0,51.0,50.0,50.0,0.0
2024-04-28,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,8.0,0.0,0.0,7.0,7.0,21.0,21.0,27.0,25.0,27.0,26.0,24.0,24.0,21.0,21.0,18.0,18.0,22.0,21.0,18.0,18.0,20.0,0.0
2024-04-27,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,2.0,3.0,2.0,14.0,16.0,0.0,0.0,0.0,0.0,12.0,11.0,9.0,10.0,0.0,0.0,7.0,7.0,6.0,6.0,15.0,13.0,14.0,13.0,14.0,14.0,10.0,11.0,7.0,7.0,8.0,7.0,4.0,4.0,4.0,0.0
