date,Westerland(Sylt).in,Westerland(Sylt).out,Keitum.in,Keitum.out,Klanxbüll.in,Klanxbüll.out,Niebüll_neg.in,Niebüll_neg.out,Niebüll.in,Niebüll.out,Husum.in,Husum.out,Heide(Holst).in,Heide(Holst).out,Itzehoe.in,Itzehoe.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Ludwigslust.in,Ludwigslust.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,7.0,7.0,9.0,11.0,11.0,12.0,12.0,12.0,13.0,14.0,5.0,6.0,5.0,5.0,6.0,0.0,0.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0.0,2.0,0.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,9.0,8.0,9.0,10.0,12.0,9.0,5.0,5.0,7.0,11.0,2.0,4.0,6.0,5.0,4.0,4.0,6.0,0.0,0.0,0.0
2024-05-04,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,6.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0
2024-05-03,0.0,3.0,1.0,4.0,5.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,4.0,4.0,5.0,6.0,2.0,3.0,1.0,1.0,6.0,4.0,6.0,0.0,0.0,0.0
2024-05-02,0.0,1.0,0.0,0.0,0.0,6.0,6.0,18.0,6.0,19.0,17.0,17.0,15.0,15.0,13.0,12.0,9.0,10.0,13.0,7.0,10.0,10.0,2.0,1.0,4.0,3.0,5.0,0.0,0.0,0.0
2024-05-01,0.0,1.0,0.0,4.0,5.0,5.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,17.0,18.0,18.0,20.0,11.0,11.0,8.0,7.0,12.0,11.0,20.0,0.0,0.0,0.0
2024-04-30,0.0,2.0,1.0,0.0,4.0,14.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
2024-04-29,0.0,2.0,2.0,2.0,20.0,21.0,0.0,0.0,16.0,5.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,6.0,7.0,1.0,2.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0
2024-04-28,0.0,1.0,0.0,4.0,8.0,9.0,12.0,11.0,12.0,11.0,7.0,7.0,7.0,8.0,10.0,7.0,9.0,9.0,9.0,3.0,4.0,5.0,0.0,2.0,7.0,5.0,6.0,0.0,0.0,0.0
