date,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,.in,.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-14,0.0,5.0,4.0,7.0,0.0,0.0,6.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,18.0,21.0,33.0,33.0,38.0,39.0,37.0,37.0,36.0,37.0,37.0,36.0,34.0,31.0,36.0,0.0
2024-05-13,0.0,6.0,0.0,8.0,0.0,0.0,7.0,8.0,8.0,10.0,9.0,9.0,8.0,7.0,9.0,13.0,13.0,12.0,13.0,14.0,10.0,10.0,12.0,12.0,15.0,15.0,13.0,12.0,11.0,0.0
2024-05-12,0.0,24.0,0.0,25.0,0.0,0.0,27.0,30.0,36.0,38.0,43.0,44.0,42.0,41.0,45.0,48.0,49.0,51.0,50.0,52.0,54.0,54.0,54.0,55.0,52.0,51.0,50.0,49.0,49.0,0.0
2024-05-09,0.0,3.0,2.0,5.0,0.0,0.0,5.0,8.0,9.0,9.0,7.0,7.0,6.0,4.0,7.0,11.0,17.0,16.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,21.0,96.0,120.0,99.0,0.0
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,15.0,19.0,18.0,20.0,23.0,23.0,23.0,24.0,25.0,20.0,20.0,16.0,17.0,21.0,0.0
2024-05-06,0.0,11.0,0.0,11.0,0.0,0.0,10.0,11.0,10.0,10.0,8.0,9.0,7.0,7.0,31.0,33.0,38.0,38.0,46.0,50.0,51.0,52.0,56.0,58.0,56.0,55.0,55.0,54.0,56.0,0.0
2024-05-05,0.0,1.0,0.0,5.0,0.0,0.0,5.0,8.0,7.0,8.0,7.0,7.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-05-03,0.0,9.0,8.0,10.0,0.0,0.0,13.0,14.0,12.0,13.0,12.0,12.0,10.0,9.0,7.0,13.0,18.0,17.0,16.0,15.0,23.0,23.0,22.0,23.0,23.0,22.0,27.0,26.0,26.0,0.0
2024-05-02,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,21.0,23.0,25.0,32.0,32.0,31.0,32.0,32.0,33.0,43.0,42.0,42.0,40.0,43.0,0.0
2024-05-01,0.0,23.0,22.0,23.0,0.0,0.0,23.0,23.0,22.0,22.0,20.0,21.0,20.0,18.0,14.0,42.0,48.0,49.0,52.0,51.0,65.0,65.0,63.0,64.0,63.0,63.0,62.0,61.0,61.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,8.0,8.0,7.0,5.0,8.0,29.0,42.0,41.0,50.0,50.0,47.0,46.0,44.0,50.0,54.0,55.0,55.0,54.0,56.0,0.0
2024-04-28,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,10.0,10.0,11.0,10.0,7.0,7.0,8.0,9.0,10.0,0.0,14.0,0.0,0.0,0.0
2024-04-26,0.0,30.0,29.0,30.0,0.0,0.0,60.0,64.0,63.0,63.0,61.0,62.0,64.0,63.0,62.0,64.0,64.0,64.0,59.0,59.0,57.0,57.0,61.0,62.0,61.0,59.0,58.0,58.0,57.0,0.0
2024-04-25,0.0,5.0,4.0,4.0,0.0,0.0,5.0,5.0,3.0,4.0,2.0,3.0,1.0,0.0,3.0,80.0,80.0,80.0,77.0,76.0,73.0,73.0,71.0,72.0,68.0,68.0,65.0,65.0,65.0,0.0
2024-04-24,0.0,6.0,5.0,7.0,0.0,0.0,8.0,9.0,8.0,9.0,6.0,7.0,5.0,4.0,4.0,73.0,75.0,76.0,81.0,80.0,81.0,85.0,83.0,84.0,83.0,83.0,86.0,80.0,88.0,0.0
2024-04-23,0.0,2.0,0.0,3.0,0.0,0.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,1.0,12.0,14.0,17.0,17.0,12.0,12.0,10.0,10.0,8.0,9.0,11.0,11.0,10.0,9.0,11.0,0.0
2024-04-22,0.0,5.0,5.0,5.0,0.0,0.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,5.0,12.0,14.0,15.0,16.0,13.0,12.0,15.0,15.0,18.0,21.0,21.0,21.0,23.0,22.0,26.0,0.0
2024-04-21,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,10.0,9.0,10.0,9.0,13.0,11.0,13.0,12.0,12.0,17.0,15.0,20.0,0.0
2024-04-19,0.0,33.0,32.0,32.0,0.0,0.0,33.0,34.0,33.0,34.0,33.0,34.0,39.0,37.0,39.0,43.0,46.0,47.0,45.0,45.0,43.0,44.0,41.0,42.0,44.0,43.0,40.0,40.0,41.0,0.0
2024-04-18,0.0,5.0,5.0,6.0,0.0,0.0,12.0,13.0,11.0,13.0,12.0,13.0,13.0,12.0,11.0,15.0,16.0,17.0,15.0,15.0,12.0,11.0,8.0,9.0,9.0,8.0,8.0,7.0,8.0,0.0
2024-04-17,0.0,2.0,1.0,3.0,0.0,0.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,7.0,8.0,9.0,13.0,15.0,13.0,13.0,11.0,12.0,0.0,18.0,16.0,16.0,32.0,0.0
2024-04-16,0.0,3.0,2.0,4.0,0.0,0.0,5.0,7.0,5.0,6.0,5.0,6.0,7.0,6.0,6.0,8.0,11.0,10.0,9.0,9.0,9.0,13.0,13.0,45.0,110.0,110.0,115.0,113.0,117.0,0.0
2024-04-15,0.0,3.0,0.0,4.0,0.0,0.0,5.0,6.0,4.0,5.0,4.0,4.0,4.0,3.0,1.0,4.0,5.0,5.0,5.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,0.0
2024-04-14,0.0,7.0,0.0,6.0,0.0,0.0,7.0,8.0,6.0,7.0,5.0,5.0,5.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,14.0,16.0,15.0,13.0,12.0,18.0,0.0
2024-04-12,0.0,7.0,1.0,8.0,0.0,0.0,10.0,13.0,13.0,22.0,0.0,0.0,43.0,42.0,45.0,41.0,45.0,45.0,50.0,51.0,48.0,48.0,49.0,50.0,52.0,51.0,48.0,48.0,49.0,0.0
2024-04-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,10.0,10.0,7.0,8.0,7.0,20.0,22.0,24.0,28.0,27.0,27.0,26.0,27.0,0.0
2024-04-10,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,11.0,12.0,17.0,16.0,22.0,21.0,20.0,20.0,24.0,25.0,22.0,21.0,20.0,19.0,29.0,0.0
2024-04-09,0.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,7.0,7.0,5.0,17.0,0.0,0.0,0.0,0.0,50.0,48.0,48.0,47.0,51.0,0.0
2024-04-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,7.0,6.0,27.0,56.0,57.0,57.0,57.0,71.0,68.0,68.0,70.0,71.0,68.0,68.0,65.0,65.0,67.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,52.0,55.0,56.0,55.0,81.0,78.0,79.0,77.0,78.0,74.0,74.0,71.0,71.0,76.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,11.0,10.0,7.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,29.0,30.0,26.0,25.0,22.0,22.0,24.0,24.0,28.0,29.0,24.0,24.0,23.0,23.0,39.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,18.0,22.0,31.0,28.0,28.0,27.0,26.0,25.0,23.0,24.0,22.0,21.0,24.0,19.0,24.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,34.0,32.0,31.0,30.0,30.0,27.0,27.0,25.0,26.0,27.0,26.0,31.0,28.0,33.0,0.0
