date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Montabaur.in,Montabaur.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-06,0.0,2.0,3.0,3.0,0.0,3.0,0.0,4.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,7.0,4.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,17.0,18.0,24.0,24.0,21.0,19.0,0.0,0.0,17.0,0.0
2024-05-05,0.0,20.0,22.0,22.0,18.0,26.0,28.0,30.0,28.0,28.0,22.0,22.0,23.0,23.0,27.0,26.0,32.0,31.0,32.0,33.0,31.0,31.0,0.0,0.0,29.0,28.0,0.0,0.0,0.0,0.0,28.0,29.0,30.0,25.0,26.0,26.0,13.0,17.0,16.0,19.0,19.0,20.0,17.0,0.0
2024-05-04,0.0,0.0,2.0,3.0,3.0,4.0,4.0,4.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,7.0,7.0,10.0,10.0,9.0,9.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,10.0,11.0,11.0,8.0,7.0,6.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,0.0
2024-05-03,0.0,0.0,7.0,7.0,14.0,17.0,17.0,17.0,15.0,16.0,24.0,24.0,25.0,27.0,30.0,28.0,33.0,34.0,37.0,38.0,36.0,37.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,29.0,31.0,29.0,25.0,23.0,23.0,19.0,20.0,13.0,13.0,0.0,0.0,11.0,0.0
2024-05-02,0.0,16.0,18.0,18.0,18.0,18.0,18.0,25.0,29.0,30.0,34.0,34.0,33.0,33.0,43.0,42.0,47.0,47.0,50.0,50.0,48.0,49.0,0.0,0.0,48.0,47.0,0.0,0.0,0.0,0.0,46.0,50.0,50.0,52.0,48.0,49.0,39.0,40.0,24.0,23.0,0.0,0.0,21.0,0.0
2024-05-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,10.0,8.0,10.0,9.0,13.0,13.0,11.0,11.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,23.0,25.0,27.0,24.0,29.0,31.0,17.0,17.0,7.0,7.0,0.0,0.0,15.0,0.0
2024-04-30,0.0,2.0,0.0,1.0,6.0,6.0,8.0,8.0,5.0,9.0,8.0,8.0,24.0,24.0,44.0,42.0,47.0,45.0,53.0,54.0,51.0,50.0,0.0,0.0,0.0,0.0,46.0,54.0,0.0,0.0,50.0,55.0,56.0,52.0,52.0,54.0,39.0,39.0,37.0,37.0,0.0,0.0,34.0,0.0
2024-04-29,0.0,0.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,103.0,117.0,118.0,0.0,0.0,0.0,0.0,113.0,115.0,115.0,110.0,107.0,110.0,99.0,99.0,94.0,94.0,0.0,0.0,90.0,0.0
2024-04-28,0.0,2.0,0.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,6.0,5.0,4.0,6.0,10.0,25.0,25.0,23.0,24.0,0.0,0.0,23.0,22.0,0.0,0.0,0.0,0.0,18.0,20.0,19.0,17.0,17.0,17.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0
2024-04-27,0.0,4.0,2.0,2.0,0.0,3.0,3.0,5.0,1.0,1.0,5.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,3.0,1.0,7.0,8.0,5.0,5.0,4.0,11.0,8.0,0.0
2024-04-26,0.0,1.0,0.0,0.0,0.0,132.0,132.0,134.0,133.0,132.0,128.0,129.0,127.0,127.0,125.0,124.0,148.0,148.0,153.0,153.0,151.0,152.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,4.0,5.0,6.0,5.0,7.0,7.0,24.0,25.0,23.0,24.0,0.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,15.0,16.0,15.0,14.0,14.0,17.0,3.0,3.0,6.0,6.0,0.0,0.0,2.0,0.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,9.0,9.0,9.0,13.0,30.0,29.0,28.0,29.0,0.0,0.0,28.0,26.0,0.0,0.0,0.0,0.0,22.0,24.0,21.0,17.0,17.0,16.0,0.0,1.0,3.0,4.0,0.0,0.0,10.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,6.0,4.0,4.0,4.0,8.0,7.0,6.0,6.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,8.0,11.0,8.0,4.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,0.0
2024-04-22,0.0,5.0,4.0,3.0,7.0,10.0,3.0,10.0,7.0,7.0,0.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,8.0,6.0,8.0,9.0,0.0,0.0,16.0,15.0,0.0,0.0,0.0,0.0,12.0,13.0,14.0,9.0,6.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,12.0,17.0,19.0,15.0,16.0,10.0,10.0,9.0,9.0,10.0,9.0,12.0,12.0,15.0,15.0,15.0,15.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,10.0,11.0,16.0,12.0,11.0,10.0,3.0,1.0,0.0,1.0,8.0,6.0,6.0,0.0
2024-04-20,0.0,3.0,2.0,2.0,6.0,7.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,3.0,3.0,12.0,12.0,9.0,10.0,0.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,11.0,12.0,18.0,14.0,14.0,14.0,2.0,3.0,42.0,43.0,45.0,46.0,44.0,0.0
2024-04-19,0.0,31.0,33.0,33.0,33.0,39.0,33.0,53.0,51.0,51.0,45.0,50.0,52.0,75.0,80.0,78.0,78.0,78.0,80.0,107.0,104.0,104.0,0.0,0.0,106.0,108.0,0.0,0.0,0.0,0.0,105.0,106.0,106.0,101.0,98.0,99.0,97.0,97.0,98.0,92.0,0.0,0.0,84.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,16.0,0.0,0.0,0.0,0.0,21.0,22.0,19.0,15.0,13.0,12.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,3.0,8.0,8.0,6.0,6.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,3.0,4.0,14.0,14.0,11.0,10.0,14.0,14.0,20.0,21.0,0.0,0.0,24.0,0.0
2024-04-16,0.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,2.0,3.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,7.0,7.0,7.0,7.0,5.0,5.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,6.0,7.0,18.0,13.0,10.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0
2024-04-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,11.0,10.0,12.0,12.0,12.0,12.0,10.0,10.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,9.0,11.0,9.0,0.0
2024-04-13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,6.0,6.0,5.0,3.0,3.0,3.0,6.0,6.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,5.0,4.0,76.0,74.0,73.0,71.0,71.0,75.0,75.0,74.0,0.0
2024-04-12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,1.0,2.0,2.0,25.0,23.0,14.0,14.0,14.0,14.0,14.0,13.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,14.0,16.0,15.0,12.0,10.0,11.0,9.0,9.0,6.0,8.0,0.0,0.0,20.0,0.0
2024-04-11,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,10.0,5.0,5.0,11.0,11.0,10.0,9.0,13.0,13.0,13.0,14.0,18.0,19.0,0.0,0.0,23.0,21.0,0.0,0.0,0.0,0.0,63.0,64.0,62.0,58.0,56.0,55.0,39.0,39.0,38.0,39.0,0.0,0.0,36.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,4.0,4.0,11.0,11.0,11.0,39.0,34.0,35.0,34.0,34.0,40.0,39.0,40.0,48.0,49.0,49.0,51.0,51.0,0.0,0.0,51.0,52.0,0.0,0.0,0.0,0.0,49.0,49.0,45.0,41.0,40.0,40.0,46.0,46.0,42.0,42.0,0.0,0.0,41.0,0.0
2024-04-09,0.0,1.0,0.0,2.0,0.0,3.0,3.0,4.0,4.0,7.0,6.0,7.0,5.0,6.0,8.0,7.0,6.0,7.0,8.0,8.0,6.0,7.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,6.0,6.0,0.0,0.0,4.0,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,8.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,14.0,11.0,10.0,11.0,11.0,11.0,10.0,0.0,0.0,5.0,0.0
2024-04-07,0.0,4.0,15.0,15.0,15.0,20.0,19.0,20.0,18.0,18.0,12.0,14.0,11.0,12.0,10.0,14.0,14.0,14.0,34.0,35.0,33.0,35.0,0.0,0.0,35.0,32.0,0.0,0.0,0.0,0.0,30.0,32.0,34.0,31.0,30.0,35.0,34.0,33.0,32.0,31.0,30.0,30.0,28.0,0.0
2024-04-06,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,6.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,9.0,11.0,15.0,15.0,14.0,12.0,15.0,15.0,11.0,15.0,13.0,12.0,11.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,6.0,6.0,4.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,12.0,16.0,17.0,14.0,16.0,2.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,5.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0
2024-04-03,0.0,13.0,17.0,18.0,19.0,19.0,19.0,24.0,23.0,25.0,18.0,19.0,18.0,19.0,18.0,29.0,32.0,33.0,34.0,35.0,33.0,33.0,0.0,0.0,32.0,30.0,0.0,0.0,0.0,0.0,25.0,26.0,35.0,29.0,36.0,35.0,39.0,38.0,38.0,38.0,37.0,36.0,35.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,6.0,0.0,0.0,18.0,18.0,17.0,18.0,23.0,23.0,20.0,0.0
2024-04-01,0.0,24.0,24.0,24.0,24.0,24.0,27.0,31.0,28.0,30.0,23.0,24.0,26.0,28.0,37.0,35.0,35.0,35.0,35.0,36.0,34.0,34.0,0.0,0.0,35.0,32.0,0.0,0.0,0.0,0.0,38.0,41.0,43.0,39.0,43.0,114.0,195.0,195.0,196.0,196.0,198.0,198.0,197.0,0.0
