date,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Herford.in,Herford.out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Magdeburg-Buckau.in,Magdeburg-Buckau.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Köthen.in,Köthen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Leipzig/Halle_Flughafen.in,Leipzig/Halle_Flughafen.out,Leipzig_Hbf.in,Leipzig_Hbf.out
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,4.0,3.0,4.0,4.0,21.0,15.0,15.0,14.0,14.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,11.0,7.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0,3.0,14.0,14.0,14.0,23.0,27.0,20.0,18.0,18.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,9.0,3.0,58.0,59.0,58.0,60.0,62.0,65.0,65.0,65.0,66.0,66.0,64.0,67.0,67.0,53.0,52.0,52.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
2024-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,11.0,10.0,11.0,10.0,14.0,8.0,8.0,8.0,7.0,6.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,9.0,5.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,10.0,10.0,13.0,5.0,6.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,16.0,15.0,14.0,12.0,12.0,11.0,6.0,10.0,30.0,31.0,30.0,32.0,33.0,33.0,38.0,38.0,38.0,37.0,37.0,37.0,23.0,24.0,23.0,0.0,0.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,15.0,14.0,13.0,22.0,21.0,25.0,20.0,23.0,22.0,21.0,20.0,19.0,19.0,23.0,24.0,23.0,24.0,25.0,28.0,29.0,16.0,17.0,17.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,5.0,5.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
