date,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Bamberg.in,Bamberg.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-28,0.0,1.0,0.0,3.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
2024-04-27,0.0,1.0,0.0,11.0,10.0,11.0,11.0,10.0,12.0,22.0,0.0,0.0,0.0,0.0,37.0,38.0,50.0,0.0
2024-04-26,0.0,4.0,0.0,3.0,0.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0
2024-04-25,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
2024-04-24,0.0,12.0,0.0,14.0,14.0,15.0,13.0,14.0,15.0,15.0,0.0,0.0,0.0,0.0,18.0,18.0,29.0,0.0
2024-04-23,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,20.0,0.0
2024-04-22,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
2024-04-21,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,8.0,11.0,0.0
2024-04-20,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,7.0,53.0,53.0,0.0,0.0,54.0,54.0,63.0,0.0
2024-04-19,0.0,0.0,0.0,2.0,0.0,2.0,3.0,7.0,5.0,6.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,0.0
2024-04-18,0.0,0.0,0.0,6.0,5.0,4.0,5.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0
2024-04-17,0.0,0.0,0.0,10.0,0.0,10.0,56.0,56.0,59.0,67.0,0.0,0.0,276.0,277.0,216.0,216.0,280.0,0.0
2024-04-15,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,92.0,93.0,80.0,79.0,96.0,0.0
2024-04-14,0.0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,0.0
2024-04-13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,44.0,44.0,0.0,0.0,0.0,0.0,44.0,51.0,53.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,16.0,17.0,0.0,0.0,0.0,0.0,14.0,13.0,8.0,0.0
2024-04-11,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0
2024-04-04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0
2024-04-01,0.0,15.0,0.0,10.0,8.0,8.0,7.0,11.0,8.0,8.0,0.0,0.0,0.0,0.0,32.0,32.0,31.0,0.0
