date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-21,0.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,0.0,2.0,2.0,2.0,6.0,6.0,6.0,7.0,9.0,9.0,9.0,0.0,0.0,0.0
2024-04-20,0.0,5.0,1.0,4.0,3.0,2.0,0.0,2.0,1.0,1.0,7.0,7.0,7.0,7.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,20.0,0.0,0.0,0.0
2024-04-18,0.0,1.0,1.0,1.0,0.0,1.0,7.0,8.0,5.0,6.0,5.0,6.0,7.0,7.0,5.0,4.0,3.0,3.0,3.0,7.0,6.0,7.0,10.0,9.0,10.0,11.0,11.0,0.0
2024-04-17,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,6.0,6.0,6.0,8.0,11.0,10.0,10.0,11.0,15.0,0.0
2024-04-16,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,7.0,7.0,6.0,6.0,4.0,5.0,8.0,8.0,6.0,6.0,5.0,0.0
2024-04-15,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,2.0,4.0,0.0
2024-04-14,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,16.0,18.0,35.0,36.0,35.0,43.0,41.0,41.0,45.0,45.0,47.0,48.0,47.0,48.0,52.0,53.0,50.0,0.0,0.0,0.0
2024-04-13,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,9.0,9.0,9.0,16.0,15.0,15.0,0.0,0.0,0.0
2024-04-12,0.0,6.0,0.0,5.0,0.0,23.0,30.0,31.0,28.0,29.0,32.0,33.0,42.0,53.0,59.0,68.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
