date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Weinheim(Bergstr)Hbf.in,Weinheim(Bergstr)Hbf.out,Heppenheim(Bergstr).in,Heppenheim(Bergstr).out,Bensheim.in,Bensheim.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-04-18,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
2024-04-17,0.0,25.0,24.0,26.0,22.0,22.0,27.0,27.0,29.0,28.0,21.0,21.0,29.0,27.0,32.0,0.0
2024-04-16,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0
2024-04-15,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,3.0,0.0,2.0,0.0
2024-04-11,0.0,3.0,0.0,1.0,0.0,0.0,49.0,48.0,49.0,48.0,49.0,48.0,46.0,46.0,0.0,0.0
2024-04-10,0.0,7.0,1.0,1.0,1.0,0.0,13.0,12.0,16.0,16.0,16.0,15.0,18.0,19.0,21.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
2024-04-08,0.0,4.0,0.0,1.0,1.0,2.0,6.0,7.0,10.0,10.0,11.0,10.0,7.0,7.0,6.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,10.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-04,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0
2024-04-03,0.0,10.0,12.0,12.0,15.0,15.0,10.0,9.0,6.0,5.0,13.0,13.0,14.0,13.0,14.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0
