date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-15,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-04-14,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-04-13,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,12.0,0.0
2024-04-12,0.0,18.0,12.0,12.0,19.0,19.0,16.0,16.0,19.0,20.0,0.0,0.0,17.0,17.0,13.0,14.0,11.0,11.0,14.0,0.0
2024-04-08,0.0,4.0,0.0,0.0,6.0,10.0,4.0,4.0,10.0,14.0,0.0,0.0,8.0,8.0,6.0,7.0,4.0,4.0,6.0,0.0
2024-04-07,0.0,6.0,0.0,0.0,5.0,6.0,3.0,3.0,8.0,9.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2024-04-06,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0
2024-04-02,0.0,9.0,0.0,0.0,9.0,9.0,6.0,6.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,31.0,31.0,31.0,32.0,0.0
2024-04-01,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,15.0,15.0,15.0,17.0,0.0
