date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Wiesbaden_Hbf.in,Wiesbaden_Hbf.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Neumünster.in,Neumünster.out,Kiel_Hbf.in,Kiel_Hbf.out
2024-05-02,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,4.0,1.0,1.0,13.0,14.0,15.0,14.0,17.0,16.0,12.0,13.0,13.0,13.0,31.0,31.0,31.0,31.0,36.0,35.0,45.0,46.0,49.0,0.0
2024-05-01,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,13.0,13.0,12.0,12.0,11.0,11.0,16.0,14.0,25.0,24.0,41.0,43.0,35.0,35.0,31.0,31.0,37.0,36.0,39.0,40.0,40.0,40.0,39.0,0.0
2024-04-30,0.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,8.0,7.0,7.0,1.0,10.0,16.0,0.0,0.0,11.0,11.0,0.0,0.0,16.0,17.0,16.0,19.0,23.0,34.0,0.0,0.0,40.0,39.0,37.0,36.0,48.0,55.0,59.0,59.0,68.0,68.0,68.0,68.0,67.0,68.0,63.0,63.0,64.0,64.0,64.0,63.0,73.0,0.0,0.0,0.0
2024-04-29,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,6.0,7.0,8.0,7.0,14.0,15.0,15.0,25.0,25.0,25.0,24.0,30.0,30.0,29.0,0.0
2024-04-28,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,10.0,8.0,5.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,7.0,7.0,9.0,8.0,8.0,8.0,8.0,9.0,5.0,6.0,1.0,1.0,3.0,3.0,7.0,7.0,5.0,5.0,2.0,0.0
2024-04-27,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,8.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,0.0,17.0,17.0,14.0,14.0,14.0,14.0,12.0,11.0,12.0,11.0,8.0,9.0,2.0,3.0,1.0,2.0,4.0,5.0,9.0,9.0,10.0,10.0,9.0,0.0
2024-04-26,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,2.0,6.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,2.0,7.0,6.0,18.0,18.0,15.0,16.0,16.0,17.0,51.0,0.0,61.0,61.0,60.0,59.0,65.0,0.0,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,7.0,5.0,3.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,39.0,0.0,0.0,41.0,41.0,39.0,39.0,41.0,40.0,42.0,42.0,45.0,45.0,42.0,43.0,39.0,39.0,88.0,89.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0,3.0,8.0,6.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,19.0,19.0,18.0,17.0,20.0,20.0,25.0,25.0,26.0,25.0,26.0,29.0,21.0,22.0,22.0,23.0,24.0,25.0,27.0,27.0,28.0,28.0,30.0,0.0
2024-04-23,0.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,2.0,2.0,7.0,2.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,9.0,8.0,6.0,6.0,6.0,7.0,5.0,4.0,3.0,2.0,0.0,1.0,3.0,4.0,43.0,43.0,50.0,53.0,53.0,54.0,57.0,56.0,56.0,0.0
