date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Hbf.in,Köln_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-02,0.0,1.0,5.0,5.0,5.0,5.0,5.0,12.0,8.0,7.0,5.0,5.0,2.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,8.0,9.0,10.0,9.0,10.0,11.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,23.0,24.0,24.0,19.0,39.0,38.0,25.0,26.0,22.0,36.0,33.0,33.0,32.0,0.0
2024-05-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,11.0,0.0,0.0,0.0,0.0,14.0,14.0,12.0,12.0,11.0,11.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,32.0,46.0,47.0,97.0,92.0,99.0,101.0,91.0,92.0,91.0,102.0,98.0,99.0,98.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,4.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,16.0,18.0,22.0,16.0,23.0,25.0,24.0,24.0,22.0,24.0,21.0,22.0,21.0,0.0
2024-04-29,0.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,10.0,13.0,11.0,24.0,26.0,31.0,32.0,27.0,27.0,24.0,24.0,23.0,0.0
2024-04-28,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,3.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,22.0,23.0,28.0,22.0,25.0,35.0,24.0,25.0,19.0,19.0,16.0,16.0,15.0,0.0
2024-04-27,0.0,0.0,1.0,1.0,0.0,4.0,3.0,4.0,0.0,1.0,2.0,2.0,1.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,25.0,23.0,24.0,26.0,26.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,57.0,54.0,55.0,57.0,52.0,53.0,53.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,0.0
2024-04-26,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,22.0,22.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,27.0,29.0,29.0,24.0,23.0,23.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,0.0
2024-04-25,0.0,0.0,0.0,5.0,7.0,8.0,8.0,9.0,4.0,4.0,0.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,2.0,2.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,2.0,11.0,79.0,74.0,72.0,76.0,61.0,62.0,57.0,57.0,55.0,55.0,56.0,0.0
2024-04-24,0.0,1.0,1.0,4.0,3.0,3.0,5.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,6.0,6.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,24.0,22.0,24.0,24.0,19.0,17.0,16.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,0.0
2024-04-23,0.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,7.0,7.0,20.0,20.0,21.0,21.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,22.0,31.0,33.0,29.0,30.0,29.0,15.0,16.0,16.0,20.0,22.0,22.0,22.0,0.0
2024-04-22,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,15.0,16.0,16.0,11.0,9.0,10.0,0.0,1.0,5.0,5.0,9.0,7.0,9.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,5.0,5.0,5.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,4.0,6.0,11.0,5.0,6.0,5.0,2.0,2.0,2.0,1.0,8.0,8.0,7.0,0.0
