date,Dortmund_Hbf.in,Dortmund_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Itzehoe.in,Itzehoe.out,Heide(Holst).in,Heide(Holst).out,Husum.in,Husum.out,Niebüll.in,Niebüll.out,Niebüll_neg.in,Niebüll_neg.out,Deezbüll.in,Deezbüll.out,Maasbüll(b_Niebüll).in,Maasbüll(b_Niebüll).out,Dagebüll_Kirche.in,Dagebüll_Kirche.out,Dagebüll_Mole.in,Dagebüll_Mole.out
2024-05-19,0.0,0.0,0.0,2.0,1.0,3.0,5.0,5.0,5.0,6.0,0.0,0.0,4.0,6.0,25.0,25.0,25.0,26.0,26.0,27.0,24.0,13.0,19.0,19.0,17.0,13.0,12.0,14.0,13.0,13.0,13.0,15.0,13.0,13.0,12.0,12.0,13.0,0.0
2024-05-18,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,0.0,0.0,5.0,7.0,2.0,4.0,6.0,8.0,8.0,8.0,7.0,1.0,3.0,4.0,8.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0
2024-05-17,0.0,0.0,0.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,0.0,0.0,2.0,3.0,2.0,2.0,4.0,6.0,6.0,6.0,1.0,4.0,8.0,10.0,11.0,7.0,14.0,14.0,16.0,17.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0
2024-05-16,0.0,0.0,0.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,5.0,6.0,10.0,10.0,12.0,13.0,13.0,13.0,8.0,2.0,4.0,5.0,7.0,2.0,3.0,1.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,0.0
2024-05-15,0.0,0.0,0.0,2.0,2.0,4.0,4.0,5.0,10.0,13.0,0.0,0.0,6.0,6.0,2.0,2.0,3.0,3.0,3.0,3.0,8.0,1.0,5.0,6.0,13.0,8.0,16.0,16.0,16.0,16.0,16.0,16.0,9.0,9.0,16.0,16.0,8.0,0.0
2024-05-14,0.0,0.0,0.0,1.0,4.0,6.0,7.0,10.0,10.0,10.0,0.0,0.0,11.0,12.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,4.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,13.0,0.0
2024-05-13,0.0,0.0,0.0,2.0,8.0,10.0,9.0,10.0,9.0,25.0,0.0,0.0,34.0,36.0,50.0,50.0,53.0,55.0,56.0,56.0,0.0,0.0,0.0,0.0,70.0,64.0,64.0,64.0,60.0,63.0,60.0,60.0,60.0,60.0,60.0,64.0,60.0,0.0
2024-05-12,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,0.0,0.0,1.0,2.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,12.0,12.0,2.0,4.0,8.0,12.0,13.0,13.0,7.0,6.0,2.0,2.0,2.0,1.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,4.0,5.0,11.0,0.0
2024-05-10,0.0,0.0,0.0,2.0,20.0,22.0,22.0,24.0,24.0,26.0,0.0,0.0,19.0,20.0,19.0,19.0,22.0,24.0,24.0,25.0,24.0,66.0,75.0,75.0,76.0,77.0,75.0,75.0,0.0,75.0,0.0,75.0,0.0,0.0,0.0,75.0,0.0,0.0
2024-05-09,0.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,5.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,6.0,5.0,5.0,1.0,1.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,0.0,0.0
2024-05-08,0.0,0.0,0.0,7.0,10.0,11.0,13.0,17.0,17.0,18.0,0.0,0.0,12.0,13.0,3.0,3.0,5.0,7.0,6.0,6.0,1.0,1.0,3.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,0.0
2024-05-07,0.0,0.0,0.0,2.0,1.0,3.0,3.0,4.0,4.0,10.0,0.0,0.0,2.0,4.0,3.0,10.0,12.0,14.0,14.0,14.0,8.0,1.0,4.0,6.0,13.0,16.0,15.0,14.0,15.0,14.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0,6.0,8.0,8.0,8.0,4.0,2.0,4.0,4.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
2024-05-04,0.0,0.0,0.0,3.0,5.0,10.0,13.0,13.0,16.0,17.0,0.0,0.0,13.0,14.0,2.0,2.0,3.0,6.0,6.0,6.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,1.0,0.0
2024-05-03,0.0,0.0,0.0,58.0,58.0,59.0,64.0,65.0,65.0,65.0,0.0,0.0,57.0,86.0,72.0,105.0,110.0,114.0,114.0,116.0,116.0,105.0,107.0,108.0,109.0,109.0,107.0,102.0,0.0,107.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,0.0,0.0,2.0,2.0,4.0,5.0,7.0,6.0,6.0,0.0,0.0,5.0,7.0,2.0,2.0,2.0,5.0,4.0,4.0,2.0,0.0,8.0,8.0,8.0,12.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0
2024-05-01,0.0,0.0,0.0,3.0,8.0,12.0,14.0,14.0,14.0,14.0,0.0,0.0,6.0,7.0,1.0,1.0,3.0,4.0,4.0,5.0,1.0,1.0,20.0,21.0,21.0,21.0,20.0,20.0,24.0,25.0,24.0,0.0,24.0,25.0,24.0,25.0,24.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,42.0,45.0,46.0,60.0,61.0,0.0,0.0,60.0,61.0,52.0,52.0,55.0,59.0,59.0,59.0,60.0,51.0,51.0,51.0,51.0,51.0,64.0,90.0,90.0,90.0,64.0,0.0,64.0,64.0,64.0,64.0,64.0,0.0
2024-04-29,0.0,0.0,0.0,2.0,1.0,2.0,10.0,11.0,11.0,11.0,0.0,0.0,9.0,9.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,6.0,6.0,6.0,13.0,14.0,14.0,14.0,4.0,0.0,14.0,14.0,14.0,14.0,16.0,0.0
2024-04-28,0.0,0.0,0.0,2.0,3.0,4.0,6.0,7.0,7.0,7.0,0.0,0.0,9.0,11.0,1.0,1.0,6.0,7.0,8.0,8.0,5.0,3.0,2.0,2.0,2.0,5.0,8.0,8.0,11.0,12.0,11.0,0.0,11.0,12.0,11.0,12.0,11.0,0.0
2024-04-27,0.0,0.0,0.0,1.0,2.0,4.0,9.0,10.0,11.0,13.0,0.0,0.0,9.0,13.0,15.0,15.0,5.0,12.0,12.0,12.0,5.0,2.0,3.0,4.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,0.0
2024-04-26,0.0,0.0,0.0,10.0,8.0,9.0,11.0,11.0,12.0,13.0,0.0,0.0,8.0,9.0,3.0,2.0,1.0,3.0,3.0,3.0,6.0,1.0,4.0,6.0,5.0,5.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,5.0,0.0
2024-04-25,0.0,0.0,0.0,1.0,3.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,5.0,6.0,2.0,2.0,1.0,2.0,3.0,3.0,6.0,1.0,7.0,8.0,8.0,10.0,12.0,12.0,12.0,12.0,11.0,0.0,12.0,12.0,12.0,12.0,9.0,0.0
2024-04-24,0.0,0.0,0.0,7.0,6.0,9.0,10.0,11.0,16.0,16.0,0.0,0.0,13.0,14.0,1.0,1.0,6.0,7.0,7.0,7.0,6.0,3.0,8.0,9.0,8.0,12.0,11.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,8.0,0.0
2024-04-23,0.0,0.0,0.0,61.0,61.0,61.0,63.0,64.0,67.0,68.0,0.0,0.0,66.0,67.0,67.0,67.0,70.0,77.0,78.0,78.0,92.0,91.0,90.0,90.0,90.0,90.0,87.0,87.0,87.0,87.0,87.0,0.0,84.0,84.0,87.0,87.0,71.0,0.0
2024-04-22,0.0,0.0,0.0,1.0,1.0,3.0,8.0,9.0,9.0,15.0,0.0,0.0,13.0,14.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
2024-04-21,0.0,0.0,0.0,3.0,3.0,4.0,6.0,6.0,6.0,8.0,0.0,0.0,7.0,8.0,6.0,6.0,6.0,8.0,8.0,9.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,6.0,8.0,12.0,14.0,15.0,14.0,15.0,0.0,0.0,13.0,18.0,2.0,3.0,4.0,4.0,3.0,4.0,14.0,14.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,4.0,7.0,9.0,10.0,11.0,0.0,0.0,0.0,0.0,11.0,13.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,16.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,19.0,22.0,22.0,24.0,24.0,15.0,10.0,9.0,9.0,8.0,8.0,4.0,4.0,3.0,4.0,3.0,0.0,3.0,0.0,4.0,4.0,4.0,0.0
2024-04-17,0.0,0.0,0.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,6.0,5.0,5.0,10.0,3.0,3.0,4.0,6.0,6.0,6.0,6.0,30.0,30.0,30.0,0.0,30.0,0.0,30.0,30.0,30.0,0.0
2024-04-16,0.0,0.0,0.0,5.0,8.0,10.0,13.0,12.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,15.0,14.0,14.0,15.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,0.0,0.0,2.0,15.0,19.0,27.0,26.0,0.0,0.0,0.0,0.0,18.0,20.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,2.0,2.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,0.0,0.0,0.0,2.0,2.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,3.0,5.0,5.0,9.0,9.0,0.0,0.0,0.0,0.0,8.0,12.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,0.0,14.0,16.0,15.0,0.0,0.0,0.0,0.0,11.0,11.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,0.0,0.0,2.0,2.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,0.0,0.0,19.0,21.0,22.0,26.0,25.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,0.0,0.0,8.0,7.0,9.0,10.0,9.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,23.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,18.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
