date,Dortmund_Hbf.in,Dortmund_Hbf.out,Witten_Hbf.in,Witten_Hbf.out,Letmathe.in,Letmathe.out,Altena(Westf).in,Altena(Westf).out,Werdohl.in,Werdohl.out,Plettenberg.in,Plettenberg.out,Finnentrop.in,Finnentrop.out,Lennestadt-Grevenbrück.in,Lennestadt-Grevenbrück.out,Lennestadt-Altenhundem.in,Lennestadt-Altenhundem.out,Kreuztal.in,Kreuztal.out,Siegen-Weidenau.in,Siegen-Weidenau.out,Siegen.in,Siegen.out,Dillenburg.in,Dillenburg.out,Wetzlar.in,Wetzlar.out,Bad_Nauheim.in,Bad_Nauheim.out,Frankfurt(Main)West.in,Frankfurt(Main)West.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-01,0.0,8.0,7.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0
2024-04-30,0.0,13.0,13.0,12.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,16.0,14.0,20.0,24.0,24.0,32.0,33.0,34.0,34.0,35.0,34.0,31.0,0.0
2024-04-29,0.0,2.0,2.0,1.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,7.0,4.0,0.0
2024-04-28,0.0,5.0,5.0,4.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,0.0,0.0
2024-04-27,0.0,1.0,1.0,1.0,2.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,6.0,7.0,10.0,10.0,8.0,9.0,5.0,0.0
2024-04-26,0.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,11.0,11.0,13.0,17.0,17.0,18.0,27.0,28.0,29.0,30.0,29.0,29.0,26.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,10.0,10.0,10.0,10.0,10.0,19.0,19.0,20.0,21.0,17.0,0.0
2024-04-24,0.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,8.0,7.0,7.0,6.0,6.0,5.0,4.0,3.0,3.0,0.0,0.0
2024-04-23,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0
2024-04-22,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,7.0,8.0,10.0,10.0,9.0,9.0,6.0,0.0
2024-04-21,0.0,3.0,2.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,5.0,8.0,8.0,5.0,0.0
2024-04-20,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,0.0
2024-04-19,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,14.0,15.0,14.0,15.0,17.0,17.0,21.0,22.0,18.0,0.0
2024-04-18,0.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,7.0,0.0
2024-04-17,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,17.0,17.0,17.0,21.0,21.0,21.0,22.0,18.0,0.0
2024-04-16,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,6.0,9.0,20.0,21.0,17.0,0.0
2024-04-15,0.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,0.0
2024-04-14,0.0,1.0,0.0,0.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,53.0,52.0,26.0,26.0,30.0,29.0,25.0,21.0,27.0,27.0,34.0,34.0,35.0,35.0,34.0,34.0,31.0,0.0
2024-04-13,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,0.0,5.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,11.0,12.0,11.0,11.0,16.0,14.0,15.0,14.0,15.0,15.0,15.0,18.0,18.0,15.0,0.0
2024-04-11,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,7.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,6.0,0.0
2024-04-10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,6.0,7.0,5.0,5.0,3.0,0.0
2024-04-09,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,17.0,0.0
2024-04-08,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,11.0,9.0,9.0,10.0,10.0,13.0,13.0,13.0,20.0,22.0,23.0,25.0,25.0,29.0,29.0,29.0,29.0,25.0,0.0
2024-04-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,20.0,21.0,25.0,26.0,26.0,28.0,28.0,27.0,28.0,27.0,23.0,26.0,26.0,27.0,27.0,27.0,26.0,25.0,26.0,20.0,0.0
2024-04-05,0.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,12.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,11.0,12.0,13.0,13.0,12.0,12.0,14.0,14.0,11.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,6.0,7.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,5.0,1.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,48.0,48.0,47.0,47.0,49.0,50.0,53.0,52.0,49.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
