date,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Helmstedt.in,Helmstedt.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Nienburg(Weser).in,Nienburg(Weser).out,Verden(Aller).in,Verden(Aller).out,Bremen_Hbf.in,Bremen_Hbf.out,Delmenhorst.in,Delmenhorst.out,Hude.in,Hude.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Augustfehn.in,Augustfehn.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,9.0,10.0,8.0,9.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,6.0,6.0,6.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,13.0,11.0,25.0,0.0
2024-04-29,0.0,3.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,6.0,5.0,8.0,7.0,6.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2024-04-28,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,5.0,4.0,4.0,5.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,15.0,0.0
2024-04-27,0.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,3.0,2.0,3.0,3.0,7.0,7.0,7.0,7.0,6.0,6.0,10.0,5.0,5.0,5.0,12.0,12.0,11.0,11.0,11.0,15.0,15.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,6.0,6.0,10.0,10.0,10.0,9.0,8.0,8.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,9.0,8.0,6.0,6.0,11.0,11.0,16.0,15.0,14.0,14.0,13.0,6.0,11.0,11.0,11.0,12.0,11.0,11.0,10.0,7.0,8.0,0.0
2024-04-23,0.0,0.0,2.0,0.0,0.0,1.0,4.0,3.0,1.0,2.0,1.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,0.0,1.0,2.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,14.0,13.0,12.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,8.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0
2024-04-21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,4.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,4.0,0.0,0.0,3.0,1.0,56.0,55.0,56.0,56.0,57.0,56.0,57.0,56.0,55.0,55.0,55.0,54.0,53.0,53.0,52.0,53.0,52.0,52.0,54.0,53.0,52.0,0.0
2024-04-19,0.0,1.0,2.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,8.0,5.0,5.0,0.0,0.0,8.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0
2024-04-17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,0.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
2024-04-15,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0
2024-04-14,0.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,12.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,8.0,10.0,0.0
2024-04-12,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,34.0,34.0,32.0,34.0,0.0,0.0,30.0,15.0,11.0,11.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0,4.0,6.0,7.0,5.0,6.0,5.0,5.0,4.0,3.0,2.0,0.0
2024-04-11,0.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,7.0,7.0,4.0,5.0,0.0,0.0,7.0,1.0,6.0,6.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0
2024-04-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
2024-04-09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,5.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,7.0,0.0
2024-04-08,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,15.0,14.0,14.0,13.0,14.0,14.0,16.0,16.0,17.0,18.0,19.0,12.0,11.0,12.0,10.0,11.0,16.0,16.0,14.0,12.0,12.0,0.0
2024-04-07,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0
2024-04-06,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0
2024-04-05,0.0,4.0,6.0,5.0,1.0,1.0,7.0,5.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2024-04-04,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
2024-04-03,0.0,4.0,6.0,4.0,0.0,1.0,0.0,3.0,4.0,4.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-04-02,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2024-04-01,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,43.0,42.0,41.0,40.0,38.0,39.0,38.0,37.0,37.0,37.0,36.0,28.0,37.0,37.0,36.0,37.0,36.0,36.0,35.0,33.0,32.0,0.0
