date,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hannover_Hbf.in,Hannover_Hbf.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Mülheim(Ruhr)Hbf.in,Mülheim(Ruhr)Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-15,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0
2024-05-14,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,0.0,0.0,0.0,2.0,0.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-05-11,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,7.0,7.0,9.0,8.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0
2024-05-10,0.0,0.0,0.0,5.0,0.0,4.0,2.0,2.0,15.0,14.0,13.0,12.0,11.0,12.0,0.0,0.0,0.0,0.0,13.0,15.0,0.0,0.0,17.0,16.0,12.0,11.0,13.0,12.0,12.0,12.0,11.0,10.0,10.0,9.0,8.0,7.0,0.0,0.0,3.0,0.0
2024-05-09,0.0,0.0,0.0,1.0,0.0,2.0,2.0,18.0,122.0,121.0,120.0,192.0,192.0,191.0,0.0,0.0,0.0,0.0,191.0,192.0,0.0,0.0,201.0,204.0,205.0,208.0,209.0,209.0,209.0,208.0,208.0,208.0,208.0,207.0,210.0,213.0,0.0,0.0,212.0,0.0
2024-05-08,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,6.0,15.0,14.0,14.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,20.0,14.0,0.0,0.0,14.0,0.0
2024-05-05,0.0,0.0,0.0,10.0,6.0,8.0,4.0,3.0,17.0,16.0,15.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,17.0,0.0,0.0,18.0,18.0,9.0,8.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,17.0,17.0,0.0,0.0,17.0,0.0
2024-05-04,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,5.0,5.0,4.0,4.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0
2024-05-03,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
2024-05-02,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,10.0,0.0,0.0,5.0,0.0
2024-05-01,0.0,0.0,0.0,11.0,10.0,7.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,8.0,6.0,0.0,0.0,3.0,0.0
2024-04-30,0.0,0.0,0.0,13.0,12.0,16.0,10.0,10.0,1.0,0.0,2.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,7.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,13.0,0.0,0.0,12.0,0.0
2024-04-29,0.0,0.0,0.0,6.0,6.0,9.0,4.0,4.0,8.0,7.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,6.0,6.0,8.0,8.0,8.0,9.0,9.0,9.0,28.0,29.0,0.0,0.0,26.0,0.0
2024-04-28,0.0,0.0,0.0,1.0,1.0,3.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,6.0,6.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0
2024-04-27,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,0.0,0.0,0.0,1.0,0.0,11.0,4.0,5.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,16.0,16.0,17.0,21.0,22.0,27.0,25.0,0.0,0.0,22.0,0.0
2024-04-25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,11.0,15.0,33.0,31.0,32.0,31.0,30.0,29.0,28.0,28.0,30.0,35.0,38.0,35.0,0.0,0.0,28.0,0.0
2024-04-24,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,4.0,0.0
2024-04-23,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,14.0,13.0,13.0,12.0,12.0,11.0,12.0,11.0,11.0,10.0,14.0,14.0,0.0,0.0,11.0,0.0
2024-04-22,0.0,20.0,0.0,0.0,0.0,0.0,16.0,20.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0
2024-04-21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,10.0,9.0,15.0,0.0,0.0,0.0,0.0,17.0,17.0,21.0,24.0,18.0,18.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,26.0,29.0,31.0,0.0,0.0,26.0,0.0
2024-04-17,0.0,30.0,0.0,0.0,0.0,0.0,25.0,31.0,17.0,16.0,13.0,18.0,18.0,17.0,0.0,0.0,0.0,0.0,16.0,15.0,0.0,0.0,14.0,12.0,10.0,22.0,22.0,21.0,21.0,20.0,20.0,20.0,18.0,19.0,23.0,21.0,0.0,0.0,14.0,0.0
2024-04-16,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,5.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,6.0,1.0,2.0,3.0,3.0,9.0,8.0,8.0,8.0,7.0,6.0,9.0,9.0,0.0,0.0,6.0,0.0
2024-04-15,0.0,7.0,0.0,0.0,0.0,0.0,11.0,13.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,7.0,6.0,7.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,12.0,10.0,0.0,0.0,3.0,0.0
2024-04-14,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,7.0,21.0,20.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,4.0,0.0,0.0,3.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
2024-04-11,0.0,43.0,0.0,0.0,0.0,0.0,38.0,39.0,22.0,24.0,21.0,21.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,0.0,21.0,21.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,14.0,13.0,0.0,0.0,8.0,0.0
2024-04-09,0.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,17.0,15.0,18.0,19.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,0.0,17.0,18.0,13.0,12.0,12.0,11.0,10.0,9.0,9.0,9.0,8.0,7.0,8.0,5.0,0.0,0.0,2.0,0.0
2024-04-08,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,10.0,0.0,0.0,4.0,0.0
2024-04-07,0.0,18.0,0.0,0.0,0.0,0.0,13.0,14.0,3.0,3.0,4.0,4.0,4.0,5.0,12.0,11.0,8.0,7.0,10.0,9.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2024-04-06,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,5.0,14.0,13.0,13.0,13.0,8.0,9.0,8.0,9.0,13.0,13.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
2024-04-05,0.0,21.0,0.0,0.0,0.0,0.0,20.0,30.0,7.0,6.0,3.0,3.0,1.0,1.0,1.0,2.0,6.0,7.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,2.0,1.0,4.0,3.0,16.0,16.0,8.0,8.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2024-04-02,0.0,5.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,1.0,1.0,1.0,5.0,17.0,17.0,9.0,10.0,0.0,0.0,0.0,0.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
