date,Dagebüll_Mole.in,Dagebüll_Mole.out,Niebüll_neg.in,Niebüll_neg.out,Niebüll.in,Niebüll.out,Husum.in,Husum.out,Heide(Holst).in,Heide(Holst).out,Dortmund_Hbf.in,Dortmund_Hbf.out,Itzehoe.in,Itzehoe.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-05,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,5.0,5.0,0.0,0.0,7.0,8.0,11.0,18.0,0.0,0.0,17.0,19.0,12.0,31.0,27.0,30.0,27.0,27.0,28.0,28.0,26.0,27.0,25.0,26.0,27.0,28.0,0.0,0.0,27.0,0.0
2024-05-04,0.0,0.0,0.0,0.0,0.0,16.0,25.0,23.0,22.0,23.0,0.0,0.0,23.0,24.0,19.0,18.0,0.0,0.0,0.0,0.0,37.0,38.0,35.0,35.0,35.0,34.0,36.0,36.0,33.0,33.0,31.0,31.0,34.0,33.0,0.0,0.0,36.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,0.0,21.0,19.0,18.0,16.0,16.0,0.0,0.0,13.0,16.0,21.0,21.0,0.0,0.0,18.0,18.0,13.0,14.0,12.0,13.0,11.0,11.0,13.0,12.0,11.0,11.0,10.0,10.0,12.0,13.0,0.0,0.0,11.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,28.0,28.0,25.0,24.0,24.0,0.0,0.0,32.0,32.0,34.0,33.0,0.0,0.0,35.0,58.0,69.0,70.0,68.0,69.0,66.0,66.0,68.0,67.0,0.0,0.0,59.0,59.0,64.0,63.0,0.0,0.0,61.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,10.0,19.0,15.0,16.0,16.0,0.0,0.0,15.0,19.0,24.0,23.0,0.0,0.0,17.0,16.0,12.0,13.0,19.0,19.0,0.0,0.0,0.0,0.0,15.0,15.0,11.0,11.0,12.0,12.0,0.0,0.0,13.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,8.0,8.0,0.0,0.0,10.0,14.0,10.0,9.0,0.0,0.0,6.0,71.0,64.0,66.0,64.0,64.0,62.0,62.0,63.0,63.0,61.0,61.0,61.0,62.0,63.0,64.0,0.0,0.0,63.0,0.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,11.0,9.0,6.0,4.0,3.0,0.0,0.0,5.0,8.0,14.0,12.0,0.0,0.0,17.0,16.0,11.0,12.0,8.0,9.0,9.0,9.0,12.0,12.0,12.0,11.0,10.0,11.0,22.0,26.0,0.0,0.0,12.0,0.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,6.0,6.0,0.0,0.0,7.0,9.0,10.0,12.0,0.0,0.0,5.0,6.0,1.0,2.0,8.0,9.0,8.0,9.0,12.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,8.0,0.0
2024-04-27,0.0,0.0,0.0,0.0,0.0,18.0,18.0,17.0,16.0,18.0,0.0,0.0,18.0,21.0,18.0,33.0,0.0,0.0,30.0,32.0,29.0,32.0,28.0,28.0,25.0,25.0,26.0,26.0,23.0,23.0,21.0,22.0,21.0,21.0,0.0,0.0,25.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,6.0,7.0,5.0,5.0,5.0,0.0,0.0,6.0,88.0,0.0,0.0,101.0,102.0,98.0,99.0,93.0,94.0,93.0,94.0,93.0,93.0,101.0,101.0,101.0,102.0,103.0,106.0,110.0,111.0,0.0,0.0,124.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,20.0,19.0,16.0,15.0,16.0,0.0,0.0,16.0,15.0,27.0,27.0,0.0,0.0,27.0,27.0,21.0,22.0,18.0,18.0,19.0,19.0,25.0,25.0,24.0,24.0,22.0,22.0,24.0,24.0,0.0,0.0,3.0,0.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,5.0,8.0,5.0,5.0,4.0,0.0,0.0,4.0,50.0,49.0,49.0,0.0,0.0,45.0,44.0,36.0,37.0,34.0,35.0,33.0,33.0,39.0,39.0,37.0,39.0,38.0,38.0,43.0,43.0,0.0,0.0,46.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,3.0,11.0,9.0,9.0,9.0,0.0,0.0,8.0,10.0,41.0,40.0,0.0,0.0,39.0,39.0,33.0,35.0,32.0,32.0,31.0,31.0,34.0,33.0,31.0,31.0,28.0,29.0,32.0,34.0,0.0,0.0,36.0,0.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,18.0,19.0,18.0,19.0,18.0,19.0,18.0,18.0,24.0,24.0,22.0,23.0,22.0,22.0,26.0,26.0,0.0,0.0,27.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,11.0,9.0,10.0,0.0,0.0,6.0,10.0,4.0,6.0,3.0,4.0,3.0,4.0,10.0,10.0,7.0,9.0,7.0,10.0,15.0,16.0,0.0,0.0,20.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,3.0,0.0,0.0,5.0,12.0,17.0,16.0,0.0,0.0,15.0,16.0,10.0,19.0,16.0,17.0,30.0,30.0,35.0,35.0,34.0,35.0,33.0,33.0,38.0,39.0,0.0,0.0,37.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,26.0,41.0,43.0,0.0,0.0,40.0,41.0,33.0,34.0,30.0,31.0,29.0,28.0,0.0,0.0,27.0,27.0,25.0,26.0,28.0,28.0,0.0,0.0,26.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,3.0,3.0,0.0,0.0,2.0,3.0,16.0,15.0,0.0,0.0,9.0,9.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,21.0,20.0,17.0,16.0,16.0,0.0,0.0,15.0,16.0,12.0,13.0,0.0,0.0,6.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,4.0,3.0,0.0,0.0,3.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,14.0,16.0,13.0,13.0,12.0,0.0,0.0,13.0,16.0,22.0,23.0,0.0,0.0,19.0,19.0,16.0,16.0,15.0,15.0,14.0,14.0,0.0,0.0,14.0,14.0,13.0,15.0,23.0,23.0,0.0,0.0,26.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,9.0,8.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0
