date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Bamberg.in,Bamberg.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,10.0,9.0,20.0,0.0,0.0,0.0,0.0,22.0,20.0,16.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,5.0,8.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,7.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,17.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,60.0,60.0,0.0,0.0,0.0,0.0,54.0,53.0,42.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,10.0,4.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,13.0,0.0,0.0,0.0,0.0,16.0,16.0,4.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,10.0,3.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
