date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-01,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,7.0,7.0,5.0,4.0,3.0,3.0,6.0,6.0,0.0,0.0,10.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,28.0,28.0,26.0,25.0,25.0,25.0,28.0,28.0,0.0,0.0,30.0,0.0
2024-04-29,0.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,5.0,22.0,16.0,15.0,17.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,106.0,108.0,109.0,108.0,108.0,112.0,112.0,120.0,122.0,0.0,0.0,126.0,0.0
2024-04-28,0.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,8.0,8.0,11.0,11.0,11.0,11.0,12.0,12.0,0.0,0.0,13.0,0.0
2024-04-27,0.0,1.0,3.0,2.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,30.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.0,36.0,36.0,34.0,34.0,34.0,34.0,35.0,37.0,0.0,0.0,43.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,69.0,69.0,70.0,66.0,85.0,79.0,79.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,106.0,94.0,0.0
2024-04-24,0.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,0.0,1.0,0.0,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,0.0
2024-04-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,13.0,0.0
2024-04-22,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0
