date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Messe/Laatzen.in,Hannover_Messe/Laatzen.out,Hannover_Hbf.in,Hannover_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,16.0,13.0,11.0,7.0,2.0,2.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2024-04-13,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0
2024-04-12,0.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,8.0,10.0,8.0,19.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0
2024-04-11,0.0,1.0,8.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,6.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,10.0,0.0
2024-04-10,0.0,2.0,4.0,3.0,0.0,1.0,0.0,9.0,5.0,6.0,3.0,3.0,5.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,9.0,0.0
2024-04-09,0.0,43.0,44.0,43.0,43.0,46.0,58.0,55.0,55.0,68.0,73.0,74.0,85.0,65.0,0.0,0.0,66.0,66.0,0.0,0.0,91.0,0.0
2024-04-08,0.0,1.0,3.0,2.0,3.0,3.0,4.0,0.0,2.0,4.0,10.0,59.0,65.0,45.0,0.0,0.0,46.0,45.0,0.0,0.0,110.0,0.0
2024-04-07,0.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0
2024-04-06,0.0,1.0,4.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0
2024-04-05,0.0,1.0,7.0,5.0,6.0,5.0,7.0,3.0,5.0,6.0,8.0,9.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
2024-04-04,0.0,20.0,17.0,14.0,14.0,13.0,30.0,30.0,25.0,26.0,24.0,24.0,33.0,14.0,0.0,0.0,17.0,17.0,0.0,0.0,19.0,0.0
2024-04-03,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2024-04-02,0.0,2.0,4.0,2.0,0.0,1.0,13.0,10.0,10.0,10.0,7.0,7.0,12.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,9.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
