date,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Mühlacker.in,Mühlacker.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Aalen_Hbf.in,Aalen_Hbf.out,Ellwangen.in,Ellwangen.out,Crailsheim.in,Crailsheim.out,Ansbach.in,Ansbach.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erlangen.in,Erlangen.out,Bamberg.in,Bamberg.out,Lichtenfels.in,Lichtenfels.out,Kronach.in,Kronach.out,Ludwigsstadt.in,Ludwigsstadt.out,Saalfeld(Saale).in,Saalfeld(Saale).out,Rudolstadt(Thür).in,Rudolstadt(Thür).out,Jena-Göschwitz.in,Jena-Göschwitz.out,Jena_Paradies.in,Jena_Paradies.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Weißenfels.in,Weißenfels.out,Leipzig_Hbf.in,Leipzig_Hbf.out
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,5.0,5.0,3.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,4.0,4.0,6.0,7.0,8.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,8.0,6.0,6.0,6.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
2024-04-08,0.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,3.0,4.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,5.0,6.0,4.0,4.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,4.0,4.0,3.0,3.0,11.0,10.0,10.0,9.0,7.0,7.0,7.0,7.0,6.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,2.0,7.0,6.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,7.0,6.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,10.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,12.0,13.0,8.0,11.0,10.0,10.0,11.0,11.0,13.0,13.0,14.0,13.0,12.0,12.0,8.0,6.0,6.0,6.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,3.0,6.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,11.0,10.0,10.0,11.0,11.0,12.0,13.0,19.0,20.0,20.0,20.0,27.0,28.0,36.0,37.0,39.0,39.0,40.0,39.0,39.0,39.0,36.0,36.0,34.0,34.0,33.0,33.0,32.0,31.0,29.0,29.0,29.0,29.0,29.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,11.0,10.0,10.0,15.0,15.0,19.0,19.0,18.0,17.0,18.0,17.0,14.0,13.0,11.0,11.0,10.0,9.0,8.0,7.0,5.0,5.0,5.0,5.0,3.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,28.0,27.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,24.0,24.0,24.0,25.0,28.0,30.0,31.0,31.0,31.0,30.0,30.0,30.0,26.0,25.0,24.0,24.0,22.0,22.0,21.0,20.0,23.0,23.0,23.0,23.0,22.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
