,id,additionalIds,ril100,nr,name,weight,category,priceCategory,hasParking,hasBicycleParking,hasLocalPublicTransport,hasPublicFacilities,hasLockerSystem,hasTaxiRank,hasTravelNecessities,hasSteplessAccess,hasMobilityService,hasWiFi,hasTravelCenter,hasRailwayMission,hasDBLounge,hasLostAndFound,hasCarRental,federalState,ril100Identifiers,location.type,location.latitude,location.longitude,operator.type,operator.id,operator.name,regionalbereich.number,regionalbereich.name,regionalbereich.shortName,szentrale.number,szentrale.publicPhoneNumber,szentrale.name,stationManagement.number,stationManagement.name,productLine.type,productLine.segment,platforms
2117,8004413,[],TNS,4531,Niederstotzingen,38.25,6,6,True,True,True,False,False,False,False,yes,no,False,False,False,False,False,False,Baden-Württemberg,"[{'rilIdentifier': 'TNS', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [10.23646, 48.532604]}}]",location,48.532604,10.23646,operator,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,6,RB Südwest,RB Südwest,33,0711/20921055,Stuttgart Hbf,214,Ulm,Zubringerbahnhof,Regionaler Zubringer,2.0
2118,8004415,[],FNV,4534,Vellmar-Niedervellmar,47.95,6,6,True,True,True,False,False,False,False,partial,no,False,False,False,False,False,False,Hessen,"[{'rilIdentifier': 'FNV', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.478438, 51.351851]}}]",location,51.351851,9.478438,operator,nordhessischer-verkehrsverbund-mbh,NVV,5,RB Mitte,RB Mitte,48,0561/7861055,Kassel-Wilhelmshöhe,168,Kassel,Zubringerbahnhof,ländlicher Zubringer,2.0
2119,8004417,[],FNL,4535,Niederwalgern,53.75,5,5,True,True,True,False,False,False,False,yes,no,False,False,False,False,False,False,Hessen,"[{'rilIdentifier': 'FNL', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.708379, 50.736598]}}]",location,50.736598,8.708379,operator,rhein-main-verkehrsverbund-gmbh,RMV,5,RB Mitte,RB Mitte,48,0561/7861055,Kassel-Wilhelmshöhe,165,Gießen,Zubringerbahnhof,Regionaler Zubringer,2.0
2120,8004418,[],FNWF,4536,Niederwalluf,67.95,6,5,False,False,False,False,False,False,False,partial,no,False,False,False,False,False,False,Hessen,"[{'rilIdentifier': 'FNWF', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.159158, 50.03665]}}]",location,50.03665,8.159158,operator,rhein-main-verkehrsverbund-gmbh,RMV,5,RB Mitte,RB Mitte,45,069/2651055,Frankfurt (Main) Hbf,157,Darmstadt,Zubringerbahnhof,Regionaler Zubringer,2.0
2121,8004420,[],FNDW,4538,Niederweimar,58.85,6,6,False,False,False,False,False,False,False,yes,no,False,False,False,False,False,False,Hessen,"[{'rilIdentifier': 'FNDW', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.733665, 50.756771]}}]",location,50.756771,8.733665,operator,rhein-main-verkehrsverbund-gmbh,RMV,5,RB Mitte,RB Mitte,48,0561/7861055,Kassel-Wilhelmshöhe,165,Gießen,Zubringerbahnhof,Regionaler Zubringer,2.0
2122,8004423,[],RNID,4541,Niederwinden,29.95,6,6,True,True,False,False,False,False,False,yes,no,False,False,False,False,False,False,Baden-Württemberg,"[{'rilIdentifier': 'RNID', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.02296, 48.13978]}}]",location,48.13978,8.02296,operator,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,6,RB Südwest,RB Südwest,28,0761/2121055,Freiburg (Breisgau) Hbf,199,Freiburg,Zubringerbahnhof,ländlicher Zubringer,1.0
2123,8004424,[],FNIZ,4543,Niederzeuzheim,34.9,6,6,True,False,False,False,False,False,False,partial,no,False,False,False,False,False,False,Hessen,"[{'rilIdentifier': 'FNIZ', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.039687, 50.468225]}}]",location,50.468225,8.039687,operator,rhein-main-verkehrsverbund-gmbh,RMV,5,RB Mitte,RB Mitte,48,0561/7861055,Kassel-Wilhelmshöhe,165,Gießen,Zubringerbahnhof,ländlicher Zubringer,2.0
2124,8004425,[],TNF,4544,Niefern,58.75,5,5,True,True,True,False,False,False,False,yes,no,False,False,False,False,False,False,Baden-Württemberg,"[{'rilIdentifier': 'TNF', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.76951993, 48.9201587]}}]",location,48.9201587,8.76951993,operator,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,6,RB Südwest,RB Südwest,32,0621/8301055,Mannheim Hbf,204,Karlsruhe,Zubringerbahnhof,Regionaler Zubringer,4.0
2125,8004426,[],ENBE,4546,Münster-Häger,34.85,6,6,True,True,True,False,False,False,False,yes,no,False,False,False,False,False,False,Nordrhein-Westfalen,"[{'rilIdentifier': 'ENBE', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [7.562341, 52.022062]}}]",location,52.022062,7.562341,operator,zweckverband-nahverkehr-westfalen-lippe,NWL,4,RB West,RB West,17,0201/1821055,Essen Hbf,56,Münster (Westf),Zubringerbahnhof,Regionaler Zubringer,1.0
2126,8004432,[],FNIR,4551,Nierstein,67.2,5,5,True,True,True,False,False,True,False,yes,no,False,False,False,False,False,False,Rheinland-Pfalz,"[{'rilIdentifier': 'FNIR', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.34281, 49.872002]}}]",location,49.872002,8.34281,operator,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-sud,ZPNV Süd,5,RB Mitte,RB Mitte,24,06131/151055,Mainz Hbf,184,Mainz,Knotenbahnhof,Regionaler Knoten,2.0
